Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.001,0.6331199018491639,0.6432,0.6426,0.6693,0.6557,0.6428,0.5511611387133598,0.7421,0.4638,0.4183,0.4399,0.6319
2,0.001,0.35966081227417346,0.8513,0.8634,0.8322,0.8475,0.8511,0.466731733456254,0.788,0.8519,0.1503,0.2556,0.571
3,0.001,0.24229190622766814,0.9074,0.9133,0.9007,0.907,0.9074,0.429688572161831,0.8244,0.8281,0.3464,0.4885,0.6617
4,0.001,0.18387038991959007,0.9294,0.9354,0.9235,0.9294,0.9294,0.31908454875228925,0.8623,0.7143,0.719,0.7166,0.8135
5,0.001,0.16132625730501282,0.9332,0.9319,0.9335,0.9327,0.9332,0.4426699439994991,0.8149,0.5732,0.9216,0.7068,0.8512
6,0.0009,0.15004684344899874,0.9395,0.9376,0.9393,0.9385,0.9395,0.5808041559765116,0.7706,0.5138,0.9739,0.6727,0.8397
7,0.0009,0.12739342404529452,0.9491,0.9508,0.9486,0.9497,0.9491,0.771537208952941,0.7199,0.4618,0.9477,0.621,0.7974
8,0.0009,0.11738712264707794,0.9525,0.9503,0.9537,0.952,0.9526,0.4490764308371581,0.8608,0.6498,0.9216,0.7622,0.8815
9,0.0009,0.09510828931470988,0.9621,0.9598,0.9637,0.9618,0.9621,0.2581144003197551,0.8861,0.758,0.7778,0.7677,0.8492
10,0.0009,0.07072555167272825,0.9748,0.9757,0.974,0.9748,0.9748,0.3759282880895626,0.8861,0.7396,0.817,0.7764,0.8626
11,0.0009,0.07704062143737381,0.9714,0.9716,0.9722,0.9719,0.9713,0.40031370956603496,0.8766,0.8641,0.5817,0.6953,0.7762
12,0.0009,0.08251392705952404,0.9693,0.9686,0.9686,0.9686,0.9693,0.5561158019850154,0.8085,0.6053,0.6013,0.6033,0.738
13,0.0009,0.08107724830646205,0.9711,0.9708,0.9708,0.9708,0.9711,0.35201966453255407,0.8608,0.7444,0.6471,0.6923,0.788
14,0.0009,0.04584654618951457,0.9835,0.9857,0.9804,0.983,0.9834,0.28397546087226144,0.8956,0.7458,0.8627,0.8,0.8844
15,0.0009,0.05289166387067073,0.9812,0.9833,0.9794,0.9813,0.9812,0.2862701382561227,0.9193,0.8072,0.8758,0.8401,0.9045
16,0.0009,0.04894936293863726,0.9797,0.9785,0.9808,0.9796,0.9798,0.5285573631008447,0.8418,0.6109,0.9542,0.7449,0.88
17,0.0008,0.04546980472622198,0.9823,0.9843,0.9804,0.9823,0.9824,0.3842814041453494,0.8703,0.7076,0.7908,0.7469,0.8432
18,0.0008,0.038955471284377076,0.9838,0.9837,0.9848,0.9843,0.9838,0.31364811429511974,0.9035,0.8594,0.719,0.7829,0.8407
19,0.0008,0.04683921511901577,0.9832,0.9815,0.9849,0.9832,0.9832,0.323851794712391,0.894,0.7792,0.7843,0.7818,0.8567
20,0.0008,0.04901498655305692,0.9815,0.9815,0.9826,0.982,0.9815,0.3269848017842378,0.8877,0.7929,0.7255,0.7577,0.8325
21,0.0008,0.04084374436017781,0.9847,0.9863,0.9835,0.9849,0.9847,0.40689854484685384,0.8671,0.7447,0.6863,0.7143,0.8056
22,0.0008,0.03727290473492489,0.9858,0.9845,0.9873,0.9859,0.9858,0.2832104275005122,0.9066,0.8406,0.7582,0.7973,0.8561
23,0.0008,0.028954312693612237,0.9881,0.9879,0.9873,0.9876,0.9881,0.36705522938112833,0.8813,0.8095,0.6667,0.7312,0.8083
24,0.0008,0.025171856929470476,0.9907,0.9894,0.9917,0.9906,0.9908,0.3011969128817327,0.9082,0.7654,0.8954,0.8253,0.9039
25,0.0008,0.0326025351947734,0.9881,0.9862,0.9902,0.9882,0.9881,0.5355537902404535,0.8687,0.8977,0.5163,0.6556,0.7488
26,0.0008,0.036293557921049394,0.9864,0.9877,0.986,0.9869,0.9864,0.41308584973381246,0.8703,0.6682,0.9216,0.7747,0.8877
27,0.0008,0.025611806893721223,0.9907,0.9889,0.9924,0.9907,0.9908,0.35075232086236313,0.9019,0.7433,0.9085,0.8176,0.9041
28,0.0007,0.021770206060696014,0.9925,0.9915,0.9938,0.9927,0.9924,0.3470549096659397,0.8972,0.7316,0.9085,0.8105,0.901
29,0.0007,0.023725685192470404,0.9902,0.9895,0.9907,0.9901,0.9902,0.3157281574318972,0.9193,0.7898,0.9085,0.845,0.9156
30,0.0007,0.018998610261068853,0.9936,0.9935,0.9935,0.9935,0.9936,0.3191330434836345,0.9051,0.8252,0.7712,0.7973,0.8595
31,0.0007,0.020772692650401343,0.9913,0.9914,0.9914,0.9914,0.9913,0.31869571446741246,0.9082,0.7684,0.8889,0.8242,0.9016
32,0.0007,0.03286890934988925,0.9876,0.9878,0.9873,0.9875,0.9876,0.31893037786376227,0.9146,0.7797,0.902,0.8364,0.9103
33,0.0007,0.025592933533415716,0.991,0.9904,0.991,0.9907,0.991,0.4026242345151843,0.8861,0.8522,0.6405,0.7313,0.8025
34,0.0007,0.018150626033106906,0.9945,0.9947,0.9941,0.9944,0.9945,0.3388611468100862,0.9114,0.7803,0.8824,0.8282,0.9015
35,0.0007,0.01645162480242477,0.9948,0.9936,0.9959,0.9948,0.9948,0.3356642686814368,0.9082,0.8992,0.6993,0.7868,0.8371
36,0.0007,0.016318858364819014,0.9936,0.9941,0.9929,0.9935,0.9936,0.34889640559574814,0.9066,0.8983,0.6928,0.7823,0.8339
37,0.0007,0.01378562412867689,0.9959,0.996,0.996,0.996,0.9959,0.35474629159475624,0.9146,0.8367,0.8039,0.82,0.8769
38,0.0007,0.01674703815607009,0.9939,0.9935,0.9941,0.9938,0.9939,0.39946224202678876,0.9003,0.7848,0.8105,0.7974,0.8697
39,0.0006,0.01487264647329101,0.9951,0.9971,0.9929,0.995,0.995,0.35651615288209654,0.9066,0.8561,0.7386,0.793,0.8494
40,0.0006,0.016261639512743353,0.9939,0.9946,0.9928,0.9937,0.9939,0.3801946081829783,0.9019,0.7514,0.8889,0.8144,0.8975
41,0.0006,0.011675187803592524,0.9965,0.9941,0.9988,0.9965,0.9966,0.4222715491917313,0.8956,0.848,0.6928,0.7626,0.8266
42,0.0006,0.01880605340644521,0.9933,0.9942,0.9925,0.9933,0.9933,0.44165003466135316,0.8687,0.6923,0.8235,0.7522,0.8533
43,0.0006,0.01284270930086172,0.9954,0.9935,0.9971,0.9953,0.9954,0.253279516075046,0.9335,0.8828,0.8366,0.8591,0.9006
44,0.0006,0.01189518769873151,0.9965,0.996,0.9972,0.9966,0.9965,0.2922387784485011,0.9288,0.8553,0.8497,0.8525,0.9019
45,0.0006,0.014015374790890038,0.9945,0.9941,0.9947,0.9944,0.9945,0.29709446001904494,0.9288,0.8699,0.8301,0.8495,0.8952
46,0.0006,0.01638490756663992,0.9951,0.9943,0.996,0.9951,0.9951,0.375579398554288,0.9098,0.82,0.8039,0.8119,0.8738
47,0.0006,0.008889274204530348,0.9971,0.9965,0.9977,0.9971,0.9971,0.41021994320453814,0.8972,0.8492,0.6993,0.767,0.8298
48,0.0006,0.015609795795036782,0.9945,0.9936,0.9954,0.9945,0.9945,0.3043660686251485,0.9146,0.8322,0.8105,0.8212,0.8791
49,0.0006,0.010787801556472442,0.9974,0.9989,0.996,0.9974,0.9974,0.3916438346948695,0.9082,0.8992,0.6993,0.7868,0.8371
50,0.0005,0.010838221182994958,0.9962,0.9965,0.996,0.9962,0.9962,0.3580284971936834,0.9082,0.7811,0.8627,0.8199,0.8928
51,0.0005,0.007986727985283963,0.9986,0.9982,0.9988,0.9985,0.9986,0.35993233832832916,0.9114,0.8255,0.8039,0.8146,0.8748
52,0.0005,0.008808172130523383,0.9983,0.9982,0.9982,0.9982,0.9983,0.3788228956591723,0.9082,0.8626,0.7386,0.7958,0.8505
53,0.0005,0.006941577419436524,0.9971,0.9972,0.9972,0.9972,0.9971,0.396527082871205,0.9114,0.8702,0.7451,0.8028,0.8548
