Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.6951833074947573,0.482,0.4931,0.6895,0.575,0.4785,0.690476658669385,0.554,0.3474,0.2578,0.296,0.4905
2,0.6905508609312885,0.5331,0.5183,0.5271,0.5227,0.5329,0.6765971048311754,0.6349,0.4286,0.0117,0.0228,0.5014
3,0.6871322803902176,0.5585,0.6129,0.3386,0.4362,0.5605,0.6809939552437175,0.669,0.5752,0.3438,0.4303,0.5993
4,0.6825390958561087,0.6274,0.6296,0.6135,0.6214,0.6273,0.6768710288134488,0.7173,0.6524,0.4766,0.5508,0.6657
5,0.6768904080930745,0.6634,0.6709,0.6264,0.6479,0.663,0.671580200845545,0.7358,0.6902,0.4961,0.5773,0.6844
6,0.671120951198182,0.6918,0.7254,0.6012,0.6575,0.6904,0.6653188304467634,0.7571,0.7348,0.5195,0.6087,0.7062
7,0.6660256728811084,0.6977,0.7237,0.6395,0.679,0.6977,0.6652328697117892,0.7415,0.6423,0.6523,0.6473,0.7224
8,0.6589291129472121,0.7272,0.7161,0.7682,0.7412,0.7265,0.6594649661671032,0.7599,0.6706,0.668,0.6693,0.7402
9,0.6541652432027852,0.7169,0.7409,0.6518,0.6935,0.7158,0.6496149680831216,0.7798,0.7205,0.6445,0.6804,0.7508
10,0.6439296828126008,0.7311,0.7274,0.7437,0.7355,0.731,0.6490323543548584,0.7259,0.6075,0.6953,0.6485,0.7193
11,0.6370198124984525,0.7317,0.7174,0.7845,0.7494,0.7304,0.6398416269909252,0.7472,0.6403,0.6953,0.6667,0.736
12,0.6253411752997704,0.7408,0.7307,0.7639,0.7469,0.7408,0.6306919563900341,0.7415,0.6267,0.7148,0.6679,0.7358
13,0.6117552816867828,0.768,0.7797,0.7391,0.7588,0.7677,0.6202631592750549,0.7443,0.6301,0.7188,0.6715,0.7388
14,0.5950884639092211,0.7742,0.7793,0.755,0.7669,0.7739,0.5994973643259569,0.7798,0.698,0.6953,0.6967,0.7617
15,0.5801291949344132,0.7733,0.7784,0.7651,0.7717,0.7734,0.588264365087856,0.7699,0.6667,0.7344,0.6989,0.7623
16,0.5523113228802411,0.8014,0.7919,0.8252,0.8082,0.8011,0.566043115474961,0.7912,0.7011,0.7422,0.7211,0.7807
17,0.5376788526773453,0.7952,0.7875,0.8093,0.7983,0.7952,0.5485527041283521,0.7869,0.6906,0.75,0.7191,0.779
18,0.5133067054568596,0.8056,0.8116,0.8059,0.8087,0.8055,0.5152664577419107,0.8196,0.7529,0.75,0.7515,0.8047
19,0.48654916123399194,0.8206,0.8182,0.8274,0.8228,0.8206,0.48894772069020703,0.8381,0.7817,0.7695,0.7756,0.8234
20,0.4642651705247051,0.8227,0.8273,0.8206,0.8239,0.8227,0.46267000314864243,0.8537,0.8174,0.7695,0.7928,0.8357
21,0.4409821553612655,0.8327,0.8272,0.8547,0.8407,0.832,0.43434142592278396,0.8636,0.8252,0.793,0.8088,0.8485
22,0.41244333195236493,0.8446,0.8376,0.8506,0.844,0.8446,0.4061964289708571,0.8679,0.8354,0.793,0.8136,0.8518
23,0.3836149120668195,0.8525,0.8431,0.8618,0.8523,0.8527,0.39381982724774967,0.8636,0.82,0.8008,0.8103,0.8502
24,0.3804899068935862,0.8505,0.8437,0.8508,0.8472,0.8505,0.3760522658174688,0.875,0.8471,0.8008,0.8233,0.8591
25,0.3687181410924444,0.8502,0.8465,0.85,0.8482,0.8502,0.37221202796155756,0.8693,0.8254,0.8125,0.8189,0.8571
26,0.3512303607081467,0.8626,0.866,0.8705,0.8682,0.8623,0.3654599233784459,0.8665,0.8164,0.8164,0.8164,0.8557
27,0.3338087109743424,0.8644,0.8465,0.8828,0.8642,0.8648,0.3525198972360654,0.8707,0.8287,0.8125,0.8205,0.8583
28,0.33074904486255824,0.8676,0.8745,0.8664,0.8704,0.8676,0.3423141407018358,0.8807,0.8468,0.8203,0.8333,0.8677
29,0.3203816399821695,0.8709,0.8632,0.8811,0.872,0.8709,0.346277097070759,0.8722,0.8242,0.8242,0.8242,0.8619
30,0.3122707795140878,0.8765,0.87,0.8794,0.8747,0.8765,0.32703653790734033,0.8849,0.8571,0.8203,0.8383,0.8711
31,0.2998329233729614,0.8788,0.8757,0.8799,0.8778,0.8789,0.33284222961149434,0.875,0.8333,0.8203,0.8268,0.8633
32,0.2914665900873688,0.8842,0.8819,0.8921,0.887,0.884,0.33107480830089614,0.8693,0.8178,0.8242,0.821,0.8597
33,0.2778466024769927,0.8845,0.8756,0.8929,0.8841,0.8846,0.3013576443561099,0.8977,0.8932,0.8164,0.8531,0.8803
34,0.26689454899081644,0.8957,0.8961,0.8845,0.8903,0.8952,0.30365626073696395,0.8892,0.8678,0.8203,0.8434,0.8744
35,0.27018448935364775,0.8904,0.8926,0.8846,0.8886,0.8903,0.2937007063830441,0.9034,0.9087,0.8164,0.8601,0.8848
36,0.25890553166281505,0.8986,0.9022,0.8942,0.8982,0.8986,0.29662678204476833,0.8906,0.8745,0.8164,0.8444,0.8747
37,0.2653028131374773,0.8939,0.8951,0.8913,0.8932,0.8939,0.2956206328658895,0.8864,0.8607,0.8203,0.84,0.8722
38,0.2605991315026328,0.8963,0.8996,0.8916,0.8956,0.8963,0.2950522422113202,0.8864,0.8607,0.8203,0.84,0.8722
39,0.2561010506074384,0.8978,0.8901,0.903,0.8965,0.8979,0.2821870759468187,0.8892,0.8678,0.8203,0.8434,0.8744
40,0.2351081940644192,0.9054,0.9047,0.9036,0.9041,0.9054,0.28772079055620864,0.8821,0.8474,0.8242,0.8356,0.8697
41,0.2358255459452575,0.909,0.9054,0.9087,0.907,0.909,0.2953205035830086,0.875,0.8256,0.832,0.8288,0.8658
42,0.2189668279914361,0.9143,0.9092,0.9169,0.913,0.9144,0.27569312204352836,0.8878,0.8612,0.8242,0.8423,0.8742
43,0.21395244688357948,0.9167,0.9236,0.914,0.9188,0.9168,0.2707337428477,0.9034,0.9017,0.8242,0.8612,0.8864
44,0.2247988535267002,0.9155,0.908,0.9201,0.914,0.9156,0.27021204493939877,0.902,0.8979,0.8242,0.8595,0.8853
45,0.22731879219975112,0.9075,0.9087,0.9133,0.911,0.9073,0.2750257450071248,0.8821,0.8446,0.8281,0.8363,0.8705
46,0.21950302512015937,0.9096,0.9064,0.9097,0.9081,0.9096,0.2573566127314486,0.9048,0.9021,0.8281,0.8635,0.8884
47,0.23870160044083055,0.8933,0.8962,0.8915,0.8939,0.8933,0.2567056170241399,0.9048,0.9021,0.8281,0.8635,0.8884
48,0.20673823180907178,0.9176,0.9179,0.9151,0.9165,0.9175,0.2515771649989553,0.8949,0.873,0.832,0.852,0.8814
49,0.21942365928640906,0.9113,0.913,0.9109,0.9119,0.9114,0.25882917373779823,0.8935,0.8694,0.832,0.8503,0.8803
50,0.211075614645796,0.9113,0.9132,0.9111,0.9122,0.9114,0.2521455431441692,0.9077,0.9207,0.8164,0.8654,0.8881
51,0.20793943093070444,0.9158,0.9178,0.9141,0.916,0.9158,0.25019244314171374,0.9091,0.9211,0.8203,0.8678,0.8901
52,0.19852942730880008,0.922,0.913,0.9265,0.9197,0.9221,0.2467649870721454,0.9119,0.9292,0.8203,0.8714,0.8923
53,0.20320452946536946,0.914,0.9196,0.9035,0.9115,0.9138,0.24999283176889134,0.8935,0.8694,0.832,0.8503,0.8803
54,0.2031882695572556,0.9187,0.9271,0.9126,0.9198,0.9189,0.24499749464236878,0.902,0.8979,0.8242,0.8595,0.8853
55,0.2022658036846035,0.9178,0.9129,0.9277,0.9203,0.9176,0.24220064229501242,0.9148,0.9336,0.8242,0.8755,0.8954
