Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.6961439433621197,0.487,0.4913,0.6461,0.5582,0.4865,0.6855463490766638,0.587,0.3377,0.1313,0.1891,0.4911
2,0.0001,0.6848157011881107,0.592,0.5739,0.7477,0.6494,0.5903,0.6817709978889016,0.6241,0.4691,0.1919,0.2724,0.5331
3,0.0001,0.6723252956460162,0.6649,0.7923,0.4198,0.5488,0.658,0.6750674107495476,0.6463,0.5556,0.1768,0.2682,0.5474
4,0.0001,0.6661888986099057,0.6992,0.7424,0.6123,0.6711,0.6994,0.6821398419492385,0.6037,0.4588,0.4495,0.4541,0.5712
5,0.0001,0.6522703912199997,0.7382,0.7343,0.7343,0.7343,0.7381,0.6681495834799374,0.6463,0.5327,0.2879,0.3738,0.5708
6,0.0001,0.6423022172799925,0.7363,0.7551,0.6903,0.7213,0.7357,0.6640850586049697,0.65,0.536,0.3384,0.4149,0.5844
7,0.0001,0.6213782807675804,0.7592,0.7692,0.7416,0.7551,0.7592,0.6608802395708421,0.6259,0.4859,0.3485,0.4059,0.5675
8,0.0001,0.5956475720172976,0.7851,0.8175,0.7272,0.7697,0.7844,0.655579521375544,0.6259,0.4872,0.3838,0.4294,0.575
9,0.0001,0.5719190650596851,0.7824,0.8005,0.7448,0.7716,0.782,0.6488654368063983,0.6204,0.4793,0.4091,0.4414,0.5759
10,0.0001,0.5323273761243354,0.8065,0.8098,0.8068,0.8083,0.8065,0.6394752737353829,0.6259,0.4882,0.4192,0.4511,0.5824
11,0.0001,0.4881381381575654,0.8351,0.8358,0.8254,0.8306,0.8349,0.6364395495723275,0.6352,0.5026,0.4798,0.491,0.6025
12,0.0001,0.44137711713953715,0.8565,0.8658,0.8419,0.8537,0.8564,0.65013968593934,0.637,0.5046,0.5505,0.5266,0.6188
13,0.0001,0.38512434428784903,0.871,0.8749,0.8655,0.8702,0.871,0.6516963453853831,0.6481,0.5189,0.5556,0.5366,0.6287
14,0.0001,0.35951184862997476,0.8733,0.8769,0.8769,0.8769,0.8732,0.668316497522242,0.6481,0.5182,0.5758,0.5455,0.6329
15,0.0001,0.32959110834976524,0.8798,0.8778,0.8838,0.8808,0.8797,0.702288790660746,0.6352,0.5021,0.6061,0.5492,0.6291
16,0.0001,0.30332116182984376,0.8866,0.8802,0.8931,0.8866,0.8867,0.7171024811618468,0.6444,0.5126,0.6162,0.5596,0.6385
17,0.0001,0.2721269585010482,0.9027,0.8976,0.9053,0.9014,0.9027,0.7463319034260862,0.6241,0.4901,0.6263,0.5499,0.6245
18,0.0001,0.28148890077704336,0.8958,0.8861,0.9047,0.8953,0.8959,0.7256068214774132,0.6481,0.5171,0.6111,0.5602,0.6404
19,0.0001,0.2660000565938833,0.8977,0.8947,0.9002,0.8975,0.8977,0.7199543587425176,0.6556,0.5261,0.6111,0.5654,0.6462
20,0.0001,0.2649312659916354,0.9008,0.8982,0.909,0.9036,0.9006,0.7432386888300672,0.6185,0.4847,0.6414,0.5522,0.6233
21,0.0001,0.2446856704063532,0.9084,0.9094,0.9067,0.908,0.9084,0.7649221659144935,0.6204,0.4866,0.6414,0.5534,0.6248
