Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.001,0.6873608708381653,0.5664,0.5479,0.7281,0.6252,0.5675,0.6087185442447662,0.9652,0.0,0.0,0.0,0.5
2,0.001,0.6484314044316609,0.6972,0.7173,0.6171,0.6634,0.6946,0.5433679074048996,0.9391,0.0,0.0,0.0,0.4865
3,0.001,0.6064994295438131,0.7647,0.7222,0.8814,0.7939,0.7613,0.5342411622405052,0.7391,0.0938,0.75,0.1667,0.7444
4,0.001,0.5346384565035502,0.8105,0.745,0.9574,0.838,0.8068,0.4575325921177864,0.7565,0.1,0.75,0.1765,0.7534
5,0.001,0.433399107058843,0.8715,0.8321,0.9461,0.8854,0.8675,0.5149843171238899,0.7217,0.1111,1.0,0.2,0.8559
6,0.0009,0.40953028996785484,0.8453,0.7701,0.9635,0.856,0.8505,0.27631550282239914,0.8261,0.1364,0.75,0.2308,0.7894
7,0.0009,0.3577352027098338,0.8693,0.8114,0.9837,0.8893,0.861,0.5084328427910805,0.713,0.1081,1.0,0.1951,0.8514
8,0.0009,0.2725785841544469,0.8976,0.8692,0.9456,0.9058,0.8955,0.39762239158153534,0.7391,0.0938,0.75,0.1667,0.7444
9,0.0009,0.21912416021029155,0.9216,0.8764,0.9873,0.9286,0.9193,0.1724669667892158,0.9391,0.2857,0.5,0.3636,0.7275
10,0.0009,0.167392997443676,0.9455,0.9198,0.9837,0.9507,0.9428,0.10474231000989676,0.9826,1.0,0.5,0.6667,0.75
11,0.0009,0.18983905762434006,0.9412,0.9068,0.9772,0.9407,0.9428,0.09380131703801453,0.9739,0.6667,0.5,0.5714,0.7455
12,0.0009,0.12139904350042344,0.9782,0.969,0.9865,0.9777,0.9785,0.18633107421919703,0.9043,0.2308,0.75,0.3529,0.83
13,0.0009,0.11037291983763377,0.9586,0.9339,0.9815,0.9571,0.9599,0.14075194112956524,0.9391,0.2857,0.5,0.3636,0.7275
14,0.0009,0.07595984861254693,0.9847,0.9742,0.9956,0.9848,0.9848,0.16727355192415416,0.9304,0.3,0.75,0.4286,0.8435
15,0.0009,0.07027287036180496,0.9847,0.9737,0.9955,0.9845,0.985,0.12264220981160179,0.9652,0.5,0.75,0.6,0.8615
16,0.0008,0.054742487519979476,0.9891,0.9825,0.9956,0.989,0.9892,0.11394037341233343,0.9739,0.6,0.75,0.6667,0.866
17,0.0008,0.048587318137288095,0.9826,0.9648,1.0,0.9821,0.9833,0.11627767188474536,0.9739,0.6,0.75,0.6667,0.866
18,0.0008,0.050130687281489374,0.9913,0.9957,0.9871,0.9914,0.9913,0.15398764342535287,0.9478,0.375,0.75,0.5,0.8525
19,0.0008,0.05495374811192354,0.9847,0.9688,1.0,0.9841,0.9855,0.10086873237742111,0.9652,0.5,0.5,0.5,0.741
20,0.0008,0.04094095478455226,0.9891,0.9868,0.9912,0.989,0.9891,0.12093235264183022,0.9652,0.5,0.75,0.6,0.8615
21,0.0008,0.05711719961836934,0.976,0.9677,0.9877,0.9776,0.9753,0.1730724709923379,0.9565,0.4286,0.75,0.5455,0.857
22,0.0008,0.019153329854210217,1.0,1.0,1.0,1.0,1.0,0.1789554074057378,0.9478,0.375,0.75,0.5,0.8525
23,0.0008,0.02022533556446433,1.0,1.0,1.0,1.0,1.0,0.1110664808365982,0.9826,0.75,0.75,0.75,0.8705
24,0.0008,0.030431333060065905,0.9935,0.9864,1.0,0.9931,0.9938,0.12353844149038196,0.9739,0.6,0.75,0.6667,0.866
25,0.0008,0.01911531432221333,0.9956,0.9914,1.0,0.9957,0.9956,0.18662849260726944,0.9478,0.375,0.75,0.5,0.8525
26,0.0007,0.013835977017879485,0.9978,0.9956,1.0,0.9978,0.9979,0.1539222676656209,0.9565,0.4286,0.75,0.5455,0.857
27,0.0007,0.01982931837749978,0.9956,0.9956,0.9956,0.9956,0.9956,0.09704525106644724,0.9826,0.75,0.75,0.75,0.8705
28,0.0007,0.038844598379607,0.9891,0.9866,0.991,0.9888,0.9892,0.09956726874224842,0.9826,0.75,0.75,0.75,0.8705
29,0.0007,0.02077813819050789,0.9978,0.9956,1.0,0.9978,0.9979,0.1140224945556838,0.9826,0.75,0.75,0.75,0.8705
30,0.0007,0.02578001917960743,0.9956,0.9959,0.9959,0.9959,0.9956,0.21600777661660686,0.9478,0.375,0.75,0.5,0.8525
31,0.0007,0.023332998311767977,0.9956,0.9909,1.0,0.9954,0.9959,0.11966116796247661,0.9652,0.5,0.75,0.6,0.8615
32,0.0007,0.01095253440241019,0.9978,0.9955,1.0,0.9977,0.9979,0.1164169308176497,0.9652,0.5,0.75,0.6,0.8615
33,0.0007,0.06741823476428786,0.9913,0.9823,1.0,0.9911,0.9916,0.11066324643616099,0.9739,0.6,0.75,0.6667,0.866
34,0.0007,0.0334422506702443,0.9913,1.0,0.9818,0.9908,0.9909,0.17396860744338483,0.9391,0.3333,0.75,0.4615,0.848
35,0.0007,0.05717985425144434,0.9913,0.9821,1.0,0.991,0.9916,0.15345025176065974,0.9478,0.375,0.75,0.5,0.8525
