Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.001,0.23270011081058584,0.8969,0.9021,0.8918,0.8969,0.897,0.6436153824736432,0.7723,0.1585,0.9654,0.2723,0.8644
2,0.001,0.08487984956976709,0.9685,0.9689,0.9688,0.9688,0.9685,0.2897556191991742,0.8892,0.2593,0.8139,0.3933,0.8533
3,0.0009,0.061232528558433794,0.9771,0.9758,0.9781,0.977,0.9771,0.19019563892492797,0.9284,0.3512,0.7359,0.4755,0.8366
4,0.0009,0.04194980674278988,0.9844,0.9845,0.9846,0.9845,0.9844,0.2503812135731029,0.9055,0.2982,0.8442,0.4407,0.8762
5,0.0009,0.03270236347715082,0.9871,0.987,0.9869,0.987,0.9871,0.15653770477605045,0.9582,0.5294,0.4675,0.4966,0.7242
6,0.0009,0.02737082693476597,0.9894,0.9892,0.9895,0.9894,0.9894,0.1507067754530176,0.9624,0.6133,0.3983,0.4829,0.6933
7,0.0009,0.023614138735148362,0.9918,0.9904,0.9934,0.9919,0.9918,0.24507234864385527,0.9114,0.3194,0.8918,0.4703,0.902
8,0.0009,0.022051457913890054,0.9925,0.9923,0.9926,0.9925,0.9925,0.35602383342821425,0.8896,0.2504,0.7532,0.3758,0.8246
9,0.0008,0.01682350599743663,0.9942,0.9931,0.9953,0.9942,0.9942,0.3084546460417985,0.9089,0.3029,0.8182,0.4421,0.8656
10,0.0008,0.01602545629116513,0.995,0.9944,0.9956,0.995,0.995,0.10629087888976689,0.9691,0.67,0.5887,0.6267,0.7877
11,0.0008,0.010641693548119216,0.9963,0.996,0.9968,0.9964,0.9963,0.47973525884175083,0.8854,0.2764,0.987,0.4318,0.9339
12,0.0008,0.011525118128763648,0.9959,0.9953,0.9964,0.9958,0.9959,0.11039898289969065,0.9654,0.5817,0.7706,0.6629,0.8725
13,0.0008,0.01075402178745643,0.9965,0.9958,0.9971,0.9965,0.9965,0.2397459416743226,0.9301,0.3779,0.9048,0.5332,0.918
14,0.0007,0.008748412952591537,0.9967,0.9965,0.9969,0.9967,0.9967,0.08520511049879666,0.9715,0.6385,0.8182,0.7173,0.8984
15,0.0007,0.009040063450140199,0.9974,0.9973,0.9974,0.9974,0.9974,0.09326145841259859,0.9689,0.6024,0.8658,0.7105,0.9197
16,0.0007,0.006274169364871956,0.9982,0.9981,0.9984,0.9982,0.9982,0.14082866629426619,0.9603,0.528,0.9394,0.676,0.9503
17,0.0007,0.008493332073903473,0.9971,0.997,0.9973,0.9971,0.9971,0.22445726931539134,0.9372,0.4109,0.9784,0.5787,0.9568
18,0.0007,0.008482374468349008,0.997,0.9969,0.997,0.997,0.997,0.21828341466004153,0.936,0.3952,0.8485,0.5392,0.8943
19,0.0007,0.005115512465757822,0.9984,0.9982,0.9986,0.9984,0.9984,0.292216550377084,0.9181,0.3448,0.9524,0.5063,0.9344
20,0.0006,0.004674337173271621,0.9984,0.9981,0.9988,0.9984,0.9984,0.12266035124686113,0.9645,0.5627,0.8745,0.6847,0.9215
21,0.0006,0.002923384311813773,0.9991,0.9987,0.9995,0.9991,0.9991,0.24829276709946188,0.9339,0.3917,0.9004,0.5459,0.9179
22,0.0006,0.0048891460526692115,0.9982,0.998,0.9985,0.9982,0.9982,0.12436143464575673,0.962,0.5497,0.7662,0.6401,0.8686
23,0.0006,0.003203857049517647,0.9991,0.9988,0.9994,0.9991,0.9991,0.17484835107652322,0.9496,0.4633,0.9004,0.6118,0.9261
24,0.0006,0.0028282288521117613,0.9989,0.9988,0.999,0.9989,0.9989,0.10068977091000528,0.9729,0.7051,0.6623,0.683,0.8248
25,0.0005,0.003055870125265589,0.9992,0.9991,0.9992,0.9991,0.9992,0.25887480766855664,0.9345,0.3935,0.8961,0.5469,0.9162
26,0.0005,0.0028140958191331046,0.9992,0.9989,0.9994,0.9992,0.9992,0.11516727283350986,0.9696,0.6084,0.8745,0.7176,0.9242
27,0.0005,0.003365217311287664,0.9988,0.9986,0.999,0.9988,0.9988,0.19340376709158413,0.9486,0.4601,0.9481,0.6195,0.9484
28,0.0005,0.001950329866328925,0.9995,0.9994,0.9996,0.9995,0.9995,0.16212036997450657,0.9555,0.4976,0.9134,0.6443,0.9354
29,0.0005,0.00170022221776326,0.9993,0.999,0.9996,0.9993,0.9993,0.18268191893797095,0.9473,0.4518,0.9134,0.6046,0.9311
30,0.0005,0.0033099375976957173,0.9989,0.9988,0.9989,0.9989,0.9989,0.2579175976300509,0.936,0.4023,0.9264,0.5609,0.9314
31,0.0004,0.0021121181639077997,0.9994,0.9993,0.9995,0.9994,0.9994,0.14154347285174726,0.9595,0.5236,0.9134,0.6656,0.9375
32,0.0004,0.0026588497261909524,0.999,0.9989,0.999,0.999,0.999,0.15260314946334158,0.9551,0.4951,0.8831,0.6345,0.9208
33,0.0004,0.0014048497013873138,0.9996,0.9996,0.9996,0.9996,0.9996,0.11480631898285765,0.9662,0.5894,0.7706,0.6679,0.8729
