Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.6811770829225338,0.6065,0.609,0.5767,0.5924,0.6063,0.6329135813496329,0.8181,0.6733,0.094,0.165,0.5416
2,0.6344226346828876,0.7617,0.776,0.7374,0.7562,0.7618,0.5672109597785906,0.851,0.7926,0.2989,0.4341,0.6402
3,0.5083713936259207,0.8321,0.8518,0.8063,0.8284,0.8323,0.3894747683609074,0.9046,0.8165,0.6462,0.7214,0.8059
4,0.34599662723718877,0.8717,0.885,0.8543,0.8694,0.8717,0.27898079698736017,0.9151,0.736,0.8669,0.7961,0.8967
5,0.26596067580034194,0.8961,0.9046,0.8884,0.8964,0.8962,0.2696834115142172,0.8985,0.6671,0.9367,0.7792,0.9131
6,0.2182355015925572,0.9147,0.9131,0.9164,0.9148,0.9147,0.22561212781478057,0.9153,0.7182,0.9162,0.8052,0.9156
7,0.18736419570565566,0.9272,0.9259,0.9297,0.9278,0.9272,0.21660257391208274,0.9162,0.7152,0.933,0.8097,0.9226
8,0.16443915270204873,0.9375,0.9328,0.9412,0.937,0.9375,0.16576619455802508,0.9336,0.8003,0.8696,0.8336,0.9092
9,0.1469666814714414,0.9445,0.9405,0.9485,0.9445,0.9446,0.20967092938636514,0.9153,0.717,0.9199,0.8059,0.917
10,0.12890679106906183,0.9525,0.9478,0.9578,0.9528,0.9525,0.16029195956335487,0.9372,0.7914,0.9115,0.8473,0.9274
11,0.12637251767898272,0.9516,0.9491,0.9546,0.9518,0.9516,0.1637857768748125,0.9336,0.7866,0.8957,0.8376,0.9191
12,0.11558954831863884,0.9568,0.9526,0.9608,0.9567,0.9568,0.15636403910519386,0.9363,0.8092,0.8724,0.8396,0.9119
13,0.11014438363026967,0.9567,0.9532,0.9602,0.9567,0.9567,0.1350130709840662,0.9473,0.8455,0.8864,0.8655,0.9241
14,0.10255763811702416,0.9616,0.9586,0.9652,0.9619,0.9616,0.13950546144042164,0.9457,0.8557,0.8613,0.8585,0.9135
