Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0,0.688999106998342,0.5531,0.5597,0.4554,0.5022,0.5521,0.6679472314180249,0.7933,0.2522,0.383,0.3041,0.6156
2,0.0,0.6669553277971054,0.6926,0.6978,0.6851,0.6914,0.6926,0.66906457530321,0.7114,0.2201,0.5687,0.3173,0.6496
3,0.0,0.6295525861464004,0.7723,0.7878,0.7465,0.7666,0.7724,0.6134621548826678,0.8261,0.3394,0.501,0.4047,0.6853
4,0.0,0.5557318533610281,0.8162,0.8468,0.776,0.8099,0.8165,0.5384483990007943,0.841,0.3944,0.6499,0.4909,0.7582
5,0.0,0.4363197169761251,0.857,0.8772,0.8344,0.8552,0.8573,0.4370332627835935,0.8522,0.4262,0.7311,0.5385,0.7997
6,0.0,0.33828407126358095,0.8786,0.891,0.864,0.8773,0.8787,0.35233895513263064,0.8627,0.4495,0.7311,0.5567,0.8057
7,0.0,0.2817141429172104,0.8933,0.899,0.8865,0.8927,0.8933,0.39584993206671554,0.8277,0.3906,0.8221,0.5296,0.8253
8,0.0,0.24918189165753116,0.9087,0.9134,0.9041,0.9088,0.9087,0.4553492349864793,0.7951,0.3524,0.8801,0.5033,0.8319
9,0.0,0.220157700086254,0.9166,0.9204,0.9125,0.9164,0.9166,0.398048030362077,0.8202,0.3827,0.8549,0.5287,0.8353
10,0.0,0.2027155733195863,0.9245,0.926,0.9224,0.9242,0.9245,0.3690703000030378,0.8321,0.4002,0.8491,0.544,0.8395
11,0.0,0.18137698692019838,0.9318,0.9335,0.9287,0.9311,0.9318,0.3142036968556634,0.8524,0.4343,0.8317,0.5707,0.8434
12,0.0,0.18013766377529072,0.9326,0.9333,0.9318,0.9325,0.9326,0.2908946814654517,0.864,0.4578,0.8298,0.5901,0.8492
13,0.0,0.1609671947944969,0.9391,0.9397,0.9387,0.9392,0.9391,0.3401336858089823,0.8458,0.4259,0.8839,0.5748,0.8623
14,0.0,0.15830215662850156,0.9403,0.9383,0.9421,0.9402,0.9403,0.3428465253027686,0.8465,0.4276,0.8917,0.5781,0.866
15,0.0,0.15064939821790738,0.9432,0.9411,0.9451,0.9431,0.9432,0.2753295407351786,0.8757,0.485,0.8743,0.6239,0.8751
16,0.0,0.14304383274756677,0.9454,0.9431,0.9476,0.9453,0.9454,0.32381732566078214,0.8606,0.4546,0.911,0.6066,0.8824
17,0.0,0.1408872565363747,0.9463,0.9445,0.9485,0.9465,0.9463,0.3047594855791026,0.8658,0.4642,0.8897,0.6101,0.8762
18,0.0,0.13861826262362367,0.9465,0.944,0.9479,0.946,0.9465,0.3133707499797762,0.8661,0.465,0.8994,0.6131,0.8805
19,0.0,0.13393604642584206,0.949,0.9475,0.9503,0.9489,0.949,0.40354305704253435,0.8369,0.4167,0.9574,0.5806,0.8891
20,0.0,0.12870408612142978,0.951,0.9506,0.9509,0.9507,0.951,0.34427939621854003,0.8592,0.4528,0.9284,0.6088,0.8892
21,0.0,0.12399120392281145,0.9532,0.9542,0.9519,0.9531,0.9532,0.2934747756234486,0.8745,0.4828,0.8956,0.6274,0.8836
22,0.0,0.11818427744041964,0.9548,0.9534,0.9574,0.9554,0.9548,0.28897891884302573,0.8759,0.4858,0.8956,0.6299,0.8844
23,0.0,0.116817402567377,0.956,0.9531,0.9584,0.9557,0.9561,0.31657208649128893,0.8695,0.4724,0.911,0.6222,0.8875
24,0.0,0.1164666179147405,0.9565,0.955,0.9571,0.9561,0.9565,0.38480552710103294,0.849,0.4354,0.9458,0.5963,0.8909
25,0.0,0.11026410329061334,0.9595,0.9595,0.9594,0.9594,0.9595,0.24744759485071158,0.8916,0.5251,0.8491,0.6489,0.8732
26,0.0,0.10758080454890617,0.9589,0.9585,0.96,0.9592,0.9589,0.32051103545801485,0.8688,0.4708,0.9033,0.619,0.8837
27,0.0,0.10990608289844454,0.9591,0.9554,0.9635,0.9594,0.9591,0.2840521339544632,0.8802,0.4957,0.8839,0.6352,0.8818
28,0.0,0.106145578239702,0.9591,0.9571,0.9598,0.9585,0.9592,0.3199039469507054,0.8693,0.4722,0.9188,0.6238,0.8907
29,0.0,0.10692343917107922,0.9588,0.9539,0.962,0.9579,0.9589,0.31042762465068025,0.875,0.4842,0.9168,0.6337,0.8931
30,0.0,0.10177393697638919,0.9611,0.9616,0.96,0.9608,0.9611,0.2706025102767196,0.8889,0.5169,0.8897,0.6539,0.8893
31,0.0,0.10412502487324059,0.9608,0.9593,0.9622,0.9607,0.9608,0.3101907809448503,0.8738,0.4816,0.913,0.6306,0.8908
32,0.0,0.10093274356575672,0.9615,0.9597,0.9632,0.9615,0.9615,0.38586384740515345,0.8515,0.4395,0.942,0.5994,0.8907
33,0.0,0.09208046946985578,0.9656,0.9627,0.9682,0.9655,0.9656,0.3463024991652826,0.8636,0.4611,0.9284,0.6162,0.8917
34,0.0,0.1014456594524968,0.9598,0.9574,0.9621,0.9597,0.9598,0.33541489781363165,0.8686,0.4713,0.9381,0.6274,0.8987
35,0.0,0.10026932984828738,0.9621,0.9612,0.9632,0.9622,0.9621,0.31213289901722957,0.8727,0.4792,0.9149,0.629,0.891
