Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.6832302052800249,0.5931,0.5626,0.9194,0.698,0.5855,0.6915606996592354,0.513,0.3988,0.6465,0.4933,0.5411
2,0.0001,0.667489634781349,0.7031,0.7351,0.6277,0.6772,0.7025,0.6762612532166874,0.613,0.461,0.3283,0.3835,0.553
3,0.0001,0.6452053254697381,0.734,0.8042,0.6027,0.689,0.7311,0.6683950003455666,0.6074,0.4514,0.3283,0.3801,0.5486
4,0.0001,0.6200852939268438,0.763,0.7907,0.7069,0.7464,0.7623,0.662081735975602,0.5926,0.4295,0.3384,0.3785,0.5391
5,0.0001,0.5852769482426528,0.776,0.7915,0.7638,0.7774,0.7763,0.662746408406426,0.5704,0.4141,0.4141,0.4141,0.5375
6,0.0001,0.5359544899405503,0.8149,0.8329,0.7892,0.8105,0.815,0.6633849108920378,0.587,0.4429,0.4899,0.4652,0.5666
7,0.0001,0.4818402546934965,0.8305,0.8326,0.83,0.8313,0.8305,0.6775574456242954,0.5889,0.4528,0.5808,0.5088,0.5872
8,0.0001,0.4221628395522513,0.8508,0.8585,0.8408,0.8496,0.8508,0.720185728634105,0.563,0.4379,0.6768,0.5317,0.5869
9,0.0001,0.37468774071553856,0.8698,0.864,0.8804,0.8721,0.8698,0.7448721431634006,0.5519,0.4295,0.6768,0.5255,0.5781
10,0.0001,0.3452590673071582,0.8805,0.8828,0.878,0.8804,0.8805,0.7587671779534396,0.5722,0.4429,0.6465,0.5257,0.5879
11,0.0001,0.32495052858096796,0.8813,0.8715,0.8898,0.8805,0.8814,0.7546076432747,0.5815,0.451,0.6515,0.5331,0.5962
12,0.0001,0.3114886091249745,0.8782,0.8795,0.8802,0.8798,0.8782,0.7512591595158857,0.6074,0.4741,0.6465,0.547,0.6156
13,0.0001,0.2984716079947425,0.8794,0.8712,0.8873,0.8792,0.8795,0.7277895440073574,0.6278,0.4939,0.6111,0.5463,0.6243
14,0.0001,0.2661786648194964,0.8996,0.8927,0.9045,0.8986,0.8997,0.7429285176536616,0.6296,0.4961,0.6414,0.5595,0.6321
