Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.2943125937750877,0.924,0.8834,0.9764,0.9276,0.9241,0.14437164987527554,0.9329,0.2024,0.9432,0.3333,0.938
2,0.0001,0.11166580574051779,0.9606,0.9403,0.9835,0.9614,0.9607,0.09971346679113564,0.957,0.2815,0.9148,0.4305,0.9363
3,0.0001,0.07460493341998452,0.9739,0.9637,0.9849,0.9742,0.9739,0.03979238960478875,0.9862,0.5867,0.75,0.6584,0.8702
4,0.0001,0.05658606673982418,0.9809,0.9741,0.9881,0.981,0.9809,0.03519806832341748,0.9864,0.588,0.7784,0.6699,0.8843
5,0.0001,0.04621344219077554,0.9845,0.9795,0.9897,0.9846,0.9845,0.026877396880187126,0.9898,0.7863,0.5852,0.671,0.7912
6,0.0001,0.040334866199621254,0.9874,0.9826,0.9924,0.9874,0.9874,0.03997900612209172,0.9863,0.5735,0.8864,0.6964,0.9372
7,0.0001,0.03487014705865181,0.9889,0.9849,0.9932,0.989,0.9889,0.02920402346766599,0.9898,0.6777,0.8125,0.739,0.9028
8,0.0001,0.03108574009376469,0.9904,0.9869,0.9939,0.9904,0.9904,0.026722975046704373,0.99,0.72,0.7159,0.7179,0.8554
9,0.0001,0.02895315296171413,0.9913,0.9877,0.995,0.9913,0.9913,0.037952672952369246,0.9868,0.5882,0.8523,0.6961,0.9207
10,0.0001,0.026699737494874917,0.9919,0.9885,0.9955,0.992,0.9919,0.03185541075485338,0.9884,0.658,0.7216,0.6883,0.8574
11,0.0001,0.027483735948573503,0.9919,0.9883,0.9957,0.992,0.9919,0.03503373824909607,0.9878,0.6122,0.8523,0.7126,0.9213
12,0.0001,0.02555365603913813,0.9926,0.9891,0.996,0.9925,0.9926,0.03238939158156075,0.9887,0.6429,0.8182,0.72,0.905
13,0.0001,0.025193048412459916,0.9926,0.989,0.996,0.9925,0.9926,0.04177273859348779,0.9863,0.5763,0.858,0.6895,0.9233
14,0.0001,0.020741138912050594,0.994,0.9911,0.9969,0.994,0.994,0.03169473842060524,0.9902,0.7484,0.6761,0.7104,0.836
15,0.0001,0.020818503543582605,0.9939,0.9906,0.9974,0.994,0.9939,0.033336250184642736,0.9896,0.673,0.8068,0.7339,0.8999
16,0.0001,0.020026255696854144,0.9941,0.9911,0.9973,0.9941,0.9941,0.031909015758790175,0.9894,0.6766,0.7727,0.7215,0.883
17,0.0001,0.02032824052917199,0.9947,0.992,0.9974,0.9947,0.9947,0.03362946025895766,0.9908,0.8632,0.5739,0.6894,0.7861
18,0.0001,0.018062799912017494,0.9946,0.9918,0.9975,0.9946,0.9946,0.03444145367526113,0.991,0.8425,0.608,0.7063,0.8029
