Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.6892955643790108,0.5635,0.5495,0.6987,0.6152,0.5636,0.6940447203814983,0.4806,0.2984,0.7402,0.4253,0.5648
2,0.0001,0.6818406581878662,0.6237,0.635,0.592,0.6127,0.6239,0.6943658143281937,0.4847,0.3089,0.7953,0.4449,0.5855
3,0.0001,0.6760197132825851,0.6458,0.7246,0.4552,0.5592,0.6434,0.6904772818088531,0.5337,0.3355,0.811,0.4747,0.6237
4,0.0001,0.6675751748539153,0.6645,0.6725,0.634,0.6527,0.6644,0.6848615445196629,0.5685,0.3467,0.748,0.4738,0.6268
5,0.0001,0.66022656361262,0.6994,0.708,0.6821,0.6948,0.6994,0.6847013682126999,0.5665,0.3529,0.8031,0.4904,0.6433
6,0.0001,0.6503673188743138,0.6979,0.7052,0.6964,0.7008,0.6979,0.6882586665451527,0.5481,0.3474,0.8425,0.492,0.6436
7,0.0001,0.6366652207715171,0.7181,0.7404,0.6771,0.7073,0.7183,0.6698206588625908,0.6115,0.3765,0.7559,0.5026,0.6583
8,0.0001,0.6223957148336229,0.7241,0.7479,0.6732,0.7086,0.7239,0.6682519391179085,0.6053,0.375,0.7795,0.5064,0.6619
9,0.0001,0.603352475024405,0.7357,0.7657,0.6823,0.7216,0.7359,0.6611030511558056,0.6074,0.3774,0.7874,0.5102,0.6658
10,0.0001,0.5841365357240041,0.7484,0.762,0.7184,0.7395,0.7482,0.6236285381019115,0.6892,0.4419,0.748,0.5556,0.7083
11,0.0001,0.5523567550948688,0.7686,0.7945,0.7216,0.7563,0.7684,0.6118153817951679,0.6892,0.4439,0.7795,0.5657,0.7185
12,0.0001,0.5240683459809848,0.7814,0.8186,0.7359,0.775,0.7825,0.5877291280776262,0.7055,0.4612,0.7953,0.5838,0.7347
13,0.0001,0.49031460888329004,0.8012,0.8091,0.7762,0.7923,0.8006,0.5014443602412939,0.818,0.6267,0.7402,0.6787,0.7927
14,0.0001,0.460689406309809,0.8091,0.8149,0.782,0.7981,0.8081,0.477461701259017,0.82,0.6196,0.7953,0.6966,0.812
15,0.0001,0.4294786900281906,0.8282,0.838,0.8135,0.8255,0.8281,0.4457434378564358,0.8323,0.638,0.8189,0.7172,0.828
16,0.0001,0.39363711930456613,0.8435,0.8519,0.8328,0.8423,0.8435,0.40322650223970413,0.8589,0.7014,0.7953,0.7454,0.8382
17,0.0001,0.3721302951730433,0.851,0.8504,0.8554,0.8529,0.8509,0.395040113478899,0.8528,0.6897,0.7874,0.7353,0.8315
