Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.690393876088293,0.5376,0.531,0.6553,0.5866,0.5375,0.6985678896307945,0.4252,0.3367,0.6022,0.4319,0.4633
2,0.0001,0.6853012505330538,0.5925,0.5797,0.7228,0.6434,0.5903,0.6970689445734024,0.4344,0.3575,0.7007,0.4735,0.4917
3,0.0001,0.6807125006851397,0.6437,0.6577,0.5772,0.6148,0.6427,0.6831048652529716,0.6318,0.4906,0.3796,0.428,0.5775
4,0.0001,0.6776186572877985,0.6395,0.6079,0.7817,0.6839,0.6398,0.6779753590623537,0.6517,0.5301,0.354,0.4245,0.5876
5,0.0001,0.6741088181734085,0.6341,0.7103,0.4452,0.5473,0.6329,0.6740642587343851,0.6636,0.5588,0.3467,0.4279,0.5954
6,0.0001,0.6668475387912047,0.6861,0.7088,0.6528,0.6797,0.6868,0.677768292526404,0.6225,0.4834,0.5839,0.5289,0.6142
7,0.0001,0.6646240463382319,0.6815,0.6717,0.7289,0.6991,0.6808,0.6697236994902293,0.6662,0.542,0.5182,0.5299,0.6344
8,0.0001,0.6556032049028497,0.6981,0.6764,0.7437,0.7084,0.6987,0.6545854782064756,0.7166,0.7586,0.3212,0.4513,0.6315
9,0.0001,0.6482107968706834,0.7206,0.722,0.7184,0.7202,0.7206,0.6516539926330248,0.7033,0.6453,0.4051,0.4978,0.6391
10,0.0001,0.6353405031718706,0.7526,0.7609,0.7296,0.745,0.7524,0.6372903461257616,0.7311,0.7383,0.4015,0.5201,0.6602
11,0.0001,0.6279477296691192,0.7368,0.7373,0.7305,0.7339,0.7368,0.6239868973692259,0.7364,0.7005,0.4781,0.5683,0.6808
12,0.0001,0.6148498026948226,0.758,0.7897,0.6969,0.7404,0.7574,0.5999357216060162,0.7483,0.8684,0.3613,0.5103,0.6651
13,0.0001,0.5963912018035588,0.7709,0.7812,0.7464,0.7634,0.7707,0.589749351143837,0.7576,0.7791,0.4635,0.5812,0.6943
14,0.0001,0.5756804707803225,0.7751,0.7937,0.7457,0.7689,0.7752,0.5675799089173476,0.7656,0.7771,0.4964,0.6058,0.7076
15,0.0001,0.5456548846865955,0.8,0.8307,0.732,0.7782,0.7973,0.5353032747904459,0.7669,0.85,0.4343,0.5749,0.6953
16,0.0001,0.5325529775337169,0.7871,0.7916,0.7688,0.7801,0.7868,0.5103307962417603,0.7934,0.8512,0.5219,0.6471,0.735
17,0.0001,0.5076431796738976,0.8037,0.8201,0.7851,0.8022,0.804,0.4743386891980966,0.8265,0.8667,0.6168,0.7207,0.7814
18,0.0001,0.4800213426351547,0.8037,0.8128,0.7826,0.7974,0.8035,0.44111798827846843,0.8331,0.8936,0.6131,0.7273,0.7858
19,0.0001,0.4396878876968434,0.8308,0.835,0.8329,0.8339,0.8307,0.41998817150791484,0.8543,0.828,0.7555,0.7901,0.833
20,0.0001,0.42766012212163523,0.8208,0.8266,0.8064,0.8164,0.8206,0.38404708666106063,0.8609,0.9005,0.6934,0.7835,0.8249
21,0.0001,0.39932537706274734,0.832,0.84,0.816,0.8278,0.8319,0.3622612589970231,0.8755,0.8659,0.7774,0.8192,0.8544
22,0.0001,0.3889763237614381,0.8457,0.8499,0.8349,0.8423,0.8456,0.3390591340139508,0.894,0.8392,0.8759,0.8571,0.8901
23,0.0001,0.3775285733373542,0.8416,0.8502,0.8326,0.8413,0.8417,0.3189321265866359,0.8993,0.8587,0.865,0.8618,0.8919
24,0.0001,0.35968921078663124,0.8449,0.8413,0.8557,0.8484,0.8447,0.3241543515274922,0.8901,0.8237,0.8869,0.8541,0.8894
25,0.0001,0.34719040617346764,0.8507,0.8462,0.8635,0.8547,0.8505,0.2999356547370553,0.8967,0.8356,0.8905,0.8622,0.8954
26,0.0001,0.3403263646913202,0.8545,0.8454,0.8584,0.8518,0.8546,0.2845231819277008,0.9007,0.8491,0.8832,0.8658,0.8969
27,0.0001,0.33203856980330065,0.8532,0.8497,0.8561,0.8529,0.8532,0.29085523324708146,0.8874,0.814,0.8942,0.8522,0.8889
28,0.0001,0.33193845341080114,0.8611,0.8637,0.8637,0.8637,0.8611,0.2791160273676117,0.8901,0.8215,0.8905,0.8546,0.8902
29,0.0001,0.3158397876510495,0.8661,0.8635,0.8706,0.8671,0.8661,0.27440075762569904,0.902,0.8521,0.8832,0.8674,0.8979
30,0.0001,0.2913907819280499,0.8778,0.8679,0.8883,0.878,0.8779,0.2505624955520034,0.9152,0.8804,0.8869,0.8836,0.9091
31,0.0001,0.3083397431397124,0.8603,0.859,0.8688,0.8639,0.8601,0.25906543666496873,0.902,0.8448,0.8942,0.8688,0.9003
32,0.0001,0.2902150348221001,0.8865,0.8788,0.8984,0.8885,0.8864,0.24579677963629365,0.9126,0.8796,0.8796,0.8796,0.9055
33,0.0001,0.3038587430982213,0.8748,0.86,0.8858,0.8727,0.8752,0.23436774763589105,0.9192,0.908,0.865,0.886,0.9075
34,0.0001,0.2720038608500832,0.8906,0.8882,0.8948,0.8915,0.8906,0.2197975505453845,0.9219,0.8853,0.9015,0.8933,0.9175
35,0.0001,0.2588448100968411,0.8973,0.8853,0.9044,0.8948,0.8975,0.25325291440822184,0.8927,0.8164,0.9088,0.8601,0.8962
36,0.0001,0.25534413960811336,0.8981,0.8897,0.9012,0.8954,0.8982,0.22383582747230926,0.9179,0.8759,0.9015,0.8885,0.9143
37,0.0001,0.24272852391004562,0.8985,0.8998,0.8906,0.8952,0.8983,0.21640661009587348,0.9166,0.8651,0.9124,0.8881,0.9157
38,0.0001,0.2425324423728805,0.9006,0.8943,0.9012,0.8977,0.9006,0.21771284332498908,0.9126,0.8586,0.9088,0.883,0.9118
39,0.0001,0.24051421125860592,0.9106,0.9012,0.9202,0.9106,0.9107,0.20360760553739965,0.9192,0.8873,0.8905,0.8889,0.913
40,0.0001,0.2432582588670285,0.901,0.8841,0.9133,0.8985,0.9015,0.2369931594002992,0.8993,0.8278,0.9124,0.8681,0.9022
41,0.0001,0.2067881743178556,0.9168,0.9128,0.9219,0.9174,0.9168,0.21674732134367028,0.9099,0.8705,0.8832,0.8768,0.9042
42,0.0001,0.2127193195843383,0.9143,0.9,0.9316,0.9155,0.9144,0.21755253880595168,0.9099,0.8576,0.9015,0.879,0.9081
43,0.0001,0.21054158928362945,0.9177,0.9066,0.9321,0.9192,0.9176,0.23240136440532902,0.9033,0.8317,0.9197,0.8735,0.9068
44,0.0001,0.20395077745381154,0.9252,0.9129,0.9389,0.9257,0.9253,0.20888639140563706,0.9086,0.8596,0.8942,0.8766,0.9055
45,0.0001,0.21954702085962421,0.9156,0.9054,0.93,0.9176,0.9154,0.21229800667303303,0.9099,0.8627,0.8942,0.8781,0.9065
46,0.0001,0.21624556634771197,0.9231,0.9074,0.9376,0.9222,0.9235,0.19028477370738983,0.9205,0.9084,0.8686,0.8881,0.9094
47,0.0001,0.213485145255139,0.9135,0.909,0.9181,0.9135,0.9135,0.21042971654484668,0.9099,0.8652,0.8905,0.8777,0.9058
48,0.0001,0.2193301501438806,0.9102,0.9018,0.9212,0.9114,0.9102,0.2312105520783613,0.8967,0.8203,0.9161,0.8655,0.9009
49,0.0001,0.18534045088055887,0.9301,0.9253,0.9346,0.9299,0.9302,0.19916774165661386,0.9126,0.8688,0.8942,0.8813,0.9086
50,0.0001,0.20838765074547969,0.911,0.9206,0.9041,0.9123,0.9112,0.22179761237930506,0.9033,0.8252,0.9307,0.8748,0.9092
