Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.6894544998281881,0.5481,0.539,0.7102,0.6129,0.5469,0.6950324799703516,0.4615,0.4165,0.8203,0.5525,0.5187
2,0.0001,0.6838824913689965,0.6188,0.6309,0.5528,0.5893,0.6181,0.6936129383418871,0.5069,0.4396,0.7898,0.5648,0.552
3,0.0001,0.6755409044654745,0.6641,0.7642,0.4599,0.5743,0.6611,0.689647887064063,0.5563,0.4668,0.6678,0.5495,0.5741
4,0.0001,0.6659520503721739,0.6743,0.6855,0.6272,0.6551,0.6737,0.6877431688101395,0.5755,0.4822,0.6441,0.5515,0.5865
5,0.0001,0.6571171393519953,0.6978,0.7975,0.5248,0.6331,0.6966,0.6886287642561871,0.5632,0.4753,0.7492,0.5816,0.5928
6,0.0001,0.6507800331241206,0.6854,0.7214,0.6281,0.6715,0.6868,0.6974033454190129,0.4794,0.4333,0.9254,0.5903,0.5505
7,0.0001,0.6392435384424109,0.6797,0.7098,0.6115,0.657,0.6799,0.684091127437094,0.5797,0.4887,0.8034,0.6077,0.6153
8,0.0001,0.6242242588808662,0.7113,0.7714,0.6,0.675,0.7113,0.6814268853353418,0.5838,0.4918,0.8136,0.613,0.6204
9,0.0001,0.6131881812685415,0.7105,0.7774,0.586,0.6682,0.7099,0.668691609216773,0.6387,0.539,0.7492,0.627,0.6563
10,0.0001,0.5984069838335639,0.7138,0.7838,0.58,0.6667,0.7121,0.6634873307269552,0.6484,0.5452,0.7966,0.6474,0.672
11,0.0001,0.579603008533779,0.7171,0.7788,0.6154,0.6876,0.7183,0.6498942452928295,0.6841,0.584,0.7661,0.6628,0.6971
12,0.0001,0.5667908983795267,0.7216,0.784,0.6118,0.6873,0.7216,0.6346334944600645,0.7047,0.6075,0.7661,0.6777,0.7145
13,0.0001,0.5431326631652681,0.75,0.8117,0.6569,0.7261,0.7508,0.6096360502035721,0.7266,0.6429,0.7322,0.6846,0.7275
