Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.6878153754443657,0.545,0.5332,0.8881,0.6663,0.537,0.7015332193935618,0.4148,0.3728,0.8737,0.5227,0.5114
2,0.0001,0.6810531543522347,0.6355,0.6463,0.5862,0.6148,0.6351,0.6910289946724387,0.5204,0.3922,0.5606,0.4615,0.5288
3,0.0001,0.6709251011290202,0.695,0.7643,0.5441,0.6357,0.6918,0.6853344054783091,0.5556,0.4037,0.4444,0.4231,0.5322
4,0.0001,0.6626276388400938,0.7084,0.7456,0.621,0.6776,0.7073,0.678283782566295,0.5926,0.4353,0.3737,0.4022,0.5465
5,0.0001,0.6519693645035348,0.7233,0.7114,0.7735,0.7412,0.722,0.6805071234703064,0.5426,0.3901,0.4394,0.4133,0.5209
6,0.0001,0.6398311897021968,0.7366,0.7441,0.7237,0.7338,0.7367,0.6747050811262691,0.5556,0.396,0.404,0.4,0.5237
7,0.0001,0.6239549553975826,0.7531,0.7494,0.7648,0.757,0.753,0.6722133948522455,0.5426,0.3828,0.404,0.3931,0.5134
8,0.0001,0.6046970755588718,0.7565,0.7733,0.7273,0.7496,0.7566,0.6714190455044017,0.5407,0.3894,0.4444,0.4151,0.5205
9,0.0001,0.5821848846063381,0.7706,0.7699,0.7774,0.7736,0.7706,0.667090489583857,0.5463,0.3937,0.4394,0.4153,0.5238
10,0.0001,0.5471896769070044,0.8015,0.8079,0.7919,0.7998,0.8015,0.6598712766871733,0.5593,0.4074,0.4444,0.4251,0.5351
11,0.0001,0.5073944435613912,0.8137,0.8257,0.7873,0.806,0.8133,0.6399325991378111,0.6074,0.4615,0.4242,0.4421,0.5688
12,0.0001,0.46581413069876226,0.837,0.8499,0.8237,0.8366,0.8372,0.6465938678559136,0.6056,0.4658,0.5152,0.4892,0.5865
13,0.0001,0.4218297270013065,0.8511,0.8528,0.8449,0.8488,0.8511,0.652406815220328,0.6204,0.4847,0.5606,0.5199,0.6078
14,0.0001,0.37126260432528285,0.8702,0.8721,0.8626,0.8673,0.8701,0.6792412496664945,0.6074,0.4727,0.6111,0.533,0.6082
15,0.0001,0.33287698975423485,0.8821,0.8822,0.8774,0.8798,0.882,0.6836491569000132,0.6296,0.4959,0.6111,0.5475,0.6257
16,0.0001,0.3161432683104422,0.8893,0.8849,0.8904,0.8876,0.8893,0.7037198508487028,0.6259,0.4921,0.6263,0.5511,0.626
17,0.0001,0.31030523940557386,0.8828,0.8845,0.8839,0.8842,0.8828,0.7235302727888612,0.6204,0.4868,0.6515,0.5572,0.6269
18,0.0001,0.2805778098905959,0.8935,0.8764,0.9112,0.8935,0.8939,0.6923572188791107,0.663,0.5367,0.5909,0.5625,0.6478
19,0.0001,0.2778565493843904,0.8927,0.8973,0.8885,0.8929,0.8928,0.7369246829081985,0.6148,0.4812,0.6465,0.5517,0.6215
20,0.0001,0.254891633896566,0.9015,0.8853,0.9147,0.8998,0.902,0.7067531338509392,0.6648,0.5371,0.6212,0.5761,0.6556
21,0.0001,0.24039442519225726,0.9095,0.9108,0.9087,0.9098,0.9095,0.7236018279457793,0.6537,0.5224,0.6465,0.5779,0.6522
