Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.6891505446615098,0.5565,0.5456,0.7758,0.6406,0.5523,0.6979085263751802,0.446,0.4376,0.8951,0.5878,0.4931
2,0.0001,0.6812829692152482,0.6373,0.6268,0.6888,0.6564,0.6371,0.6921297964595613,0.5015,0.4588,0.7203,0.5605,0.5245
3,0.0001,0.671423337127589,0.6899,0.701,0.6448,0.6717,0.6892,0.6824587157794407,0.5957,0.5625,0.3776,0.4519,0.5728
4,0.0001,0.6674467649640916,0.6827,0.7273,0.5774,0.6437,0.682,0.678031481447674,0.5926,0.5573,0.3741,0.4477,0.5697
5,0.0001,0.6550698370873174,0.7162,0.7313,0.6939,0.7122,0.7164,0.6796706858135405,0.5756,0.5159,0.6224,0.5642,0.5805
6,0.0001,0.6422548399695868,0.7237,0.7541,0.6653,0.7069,0.7238,0.6745172597113109,0.588,0.5294,0.5979,0.5616,0.589
7,0.0001,0.6323791191547732,0.7205,0.7299,0.7208,0.7254,0.7205,0.6676011383533478,0.591,0.5338,0.5804,0.5561,0.5899
8,0.0001,0.612489822544629,0.7548,0.7784,0.7086,0.7418,0.7545,0.6569047144481114,0.608,0.5571,0.5455,0.5512,0.6015
9,0.0001,0.5939558616167382,0.7679,0.8025,0.7097,0.7533,0.7678,0.6443165342013041,0.6142,0.5744,0.486,0.5265,0.6007
10,0.0001,0.5661945584454114,0.7775,0.8199,0.6976,0.7539,0.7757,0.6322898921512422,0.6343,0.5904,0.5594,0.5745,0.6264
11,0.0001,0.5400822781309297,0.7898,0.8194,0.7392,0.7772,0.7894,0.6112449325266338,0.6651,0.652,0.5175,0.577,0.6496
12,0.0001,0.5067656357077104,0.8109,0.8448,0.7654,0.8031,0.8113,0.5915506169909522,0.6698,0.6651,0.507,0.5754,0.6527
13,0.0001,0.4805644833588902,0.8089,0.8275,0.7844,0.8054,0.8091,0.5646407852570215,0.6991,0.6888,0.5804,0.63,0.6866
14,0.0001,0.4217969877055929,0.8551,0.8632,0.835,0.8488,0.8546,0.5404916930766333,0.713,0.7336,0.549,0.628,0.6957
15,0.0001,0.39135315712494184,0.8643,0.8832,0.8355,0.8587,0.8639,0.514833099075726,0.7269,0.7444,0.5804,0.6523,0.7115
16,0.0001,0.3909579062763649,0.8451,0.8484,0.8368,0.8426,0.8451,0.5020978557212012,0.733,0.7628,0.5734,0.6547,0.7163
17,0.0001,0.3579792634973043,0.8646,0.8718,0.8537,0.8627,0.8646,0.4860020535332816,0.75,0.7743,0.6119,0.6836,0.7355
18,0.0001,0.3324717973606496,0.8706,0.8722,0.8687,0.8705,0.8706,0.4768828469372931,0.7562,0.7807,0.6224,0.6926,0.7421
19,0.0001,0.3184604165674765,0.8762,0.8806,0.8729,0.8767,0.8762,0.45874940284660887,0.7701,0.7866,0.6573,0.7162,0.7582
20,0.0001,0.2982831504903262,0.8873,0.8857,0.885,0.8854,0.8873,0.44332627952098846,0.7978,0.7969,0.7273,0.7605,0.7904
21,0.0001,0.3207169748559783,0.8666,0.8638,0.8574,0.8606,0.8663,0.4500627734121822,0.7701,0.7915,0.6503,0.714,0.7575
22,0.0001,0.2957183565897278,0.8778,0.8923,0.8636,0.8777,0.878,0.4249229704340299,0.8071,0.797,0.7552,0.7756,0.8017
23,0.0001,0.29748327766038196,0.8778,0.874,0.8844,0.8792,0.8777,0.4380052192580132,0.7762,0.8161,0.6364,0.7151,0.7616
24,0.0001,0.2872969125267826,0.8814,0.8901,0.8733,0.8817,0.8815,0.41612712755089715,0.8148,0.8268,0.7343,0.7778,0.8064
25,0.0001,0.2579371981039832,0.8953,0.905,0.8794,0.892,0.895,0.4062856740894772,0.8179,0.8281,0.7413,0.7823,0.8099
26,0.0001,0.2686492292375504,0.885,0.8864,0.8843,0.8854,0.885,0.40220651030540466,0.8256,0.834,0.7552,0.7927,0.8182
27,0.0001,0.26396208878936644,0.8957,0.9133,0.8775,0.895,0.896,0.39252290856980143,0.8287,0.8327,0.7657,0.7978,0.8221
28,0.0001,0.2402072105603882,0.9001,0.8982,0.9032,0.9007,0.9001,0.3875333679219087,0.8287,0.8378,0.7587,0.7963,0.8214
29,0.0001,0.2467470282240759,0.9017,0.9096,0.893,0.9012,0.9017,0.3796720050630115,0.8241,0.8333,0.7517,0.7904,0.8165
30,0.0001,0.23187922450560558,0.9033,0.9146,0.8955,0.905,0.9035,0.3736540886263053,0.8426,0.8217,0.8217,0.8217,0.8404
31,0.0001,0.22139165267536912,0.91,0.9094,0.9094,0.9094,0.91,0.3811393841391518,0.8179,0.8443,0.7203,0.7774,0.8077
32,0.0001,0.22550030175266386,0.9068,0.9132,0.8938,0.9034,0.9065,0.36832367593333837,0.8364,0.8435,0.7727,0.8066,0.8297
33,0.0001,0.20856915914182422,0.9164,0.917,0.9155,0.9163,0.9164,0.3719371312430927,0.8318,0.8498,0.7517,0.7978,0.8234
34,0.0001,0.2050496741563459,0.918,0.9228,0.911,0.9169,0.9179,0.35908330764089313,0.8472,0.8258,0.8287,0.8272,0.8453
35,0.0001,0.19701424910675122,0.9196,0.9234,0.9145,0.9189,0.9196,0.36273134003082913,0.8472,0.8375,0.8112,0.8242,0.8434
36,0.0001,0.19821271866182738,0.9184,0.9209,0.9127,0.9168,0.9183,0.3611703405955008,0.8395,0.8447,0.7797,0.8109,0.8332
37,0.0001,0.21153067080657692,0.91,0.9222,0.8958,0.9088,0.91,0.37647079516734394,0.8194,0.8565,0.7098,0.7763,0.8079
38,0.0001,0.19621130550586724,0.9164,0.918,0.909,0.9135,0.9162,0.35783393973750727,0.8426,0.8459,0.7867,0.8152,0.8367
39,0.0001,0.18989958765008783,0.9196,0.9284,0.9108,0.9195,0.9197,0.34314935086738496,0.8596,0.8545,0.8217,0.8378,0.8556
40,0.0001,0.16944189728060854,0.9311,0.9344,0.9292,0.9318,0.9312,0.3560197949409485,0.8472,0.8528,0.7902,0.8203,0.8412
41,0.0001,0.17984195647737647,0.9291,0.925,0.9325,0.9287,0.9292,0.355665714169542,0.8472,0.845,0.8007,0.8223,0.8423
42,0.0001,0.18733706348870374,0.924,0.9237,0.9259,0.9248,0.9239,0.3467128314077854,0.8488,0.8431,0.8077,0.825,0.8445
43,0.0001,0.1719704628273656,0.9303,0.938,0.9241,0.931,0.9304,0.3647754785737821,0.8225,0.8608,0.7133,0.7801,0.8111
44,0.0001,0.17646759144867522,0.9283,0.9275,0.9275,0.9275,0.9283,0.3631574144320829,0.838,0.8694,0.7448,0.8023,0.8282
45,0.0001,0.1764578623107717,0.9303,0.9363,0.9236,0.9299,0.9303,0.3429241097044377,0.8565,0.8587,0.8077,0.8324,0.8514
46,0.0001,0.18998194650947292,0.9184,0.9175,0.9196,0.9186,0.9184,0.3307623135014659,0.8657,0.8566,0.8357,0.846,0.8626
47,0.0001,0.1720923240048976,0.9323,0.9339,0.931,0.9324,0.9323,0.3583185285152424,0.8395,0.873,0.7448,0.8038,0.8296
48,0.0001,0.16887864800570887,0.9303,0.9408,0.9226,0.9316,0.9306,0.3417355649705444,0.8627,0.8662,0.8147,0.8396,0.8576
49,0.0001,0.16837732899415342,0.9295,0.9364,0.9223,0.9293,0.9296,0.34673201470147996,0.8596,0.8571,0.8182,0.8372,0.8552
50,0.0001,0.15646431231989136,0.9367,0.9327,0.938,0.9353,0.9367,0.3493245670217134,0.8549,0.8556,0.8077,0.8309,0.85
51,0.0,0.15025297976747343,0.9403,0.9464,0.9328,0.9396,0.9403,0.344625764925565,0.8596,0.8625,0.8112,0.836,0.8545
52,0.0,0.14251342868503136,0.9459,0.9449,0.9449,0.9449,0.9458,0.3432418088473025,0.8627,0.8556,0.8287,0.8419,0.8591
53,0.0,0.14945004861566086,0.9407,0.9568,0.9283,0.9423,0.9413,0.34132748496319565,0.8519,0.8654,0.7867,0.8242,0.845
54,0.0,0.16557695037579234,0.9347,0.9232,0.9494,0.9361,0.9346,0.345369865541302,0.8565,0.8669,0.7972,0.8306,0.8503
55,0.0,0.1672603711014307,0.9299,0.9319,0.9243,0.928,0.9298,0.3663619597930284,0.8318,0.8583,0.7413,0.7955,0.8223
56,0.0,0.16204873227243183,0.9363,0.9321,0.9396,0.9358,0.9363,0.33014236186586676,0.8688,0.8681,0.8287,0.8479,0.8646
57,0.0,0.1518659989667844,0.9431,0.9449,0.9427,0.9438,0.9431,0.34543964113774045,0.8395,0.8669,0.7517,0.8052,0.8303
58,0.0,0.15232085167795797,0.9399,0.9368,0.9449,0.9408,0.9398,0.34919563725235914,0.8457,0.8633,0.7727,0.8155,0.838
59,0.0,0.14390152221239066,0.9451,0.9456,0.944,0.9448,0.9451,0.35393371743460494,0.8534,0.8659,0.7902,0.8263,0.8468
60,0.0,0.14872878818195076,0.9411,0.9406,0.9421,0.9414,0.9411,0.3470777490486701,0.8534,0.8631,0.7937,0.827,0.8471
61,0.0,0.1473004928778244,0.9399,0.9313,0.9472,0.9391,0.94,0.3492647675974738,0.8503,0.8649,0.7832,0.822,0.8433
62,0.0,0.13200226331813425,0.9482,0.9517,0.9457,0.9487,0.9483,0.34134919400371255,0.8611,0.863,0.8147,0.8381,0.8562
63,0.0,0.13762832444774198,0.9471,0.9459,0.9482,0.947,0.9471,0.33708748079481576,0.858,0.8647,0.8042,0.8333,0.8524
64,0.0,0.13754379702142522,0.9498,0.9517,0.9471,0.9494,0.9498,0.3366927057504654,0.8596,0.8652,0.8077,0.8354,0.8541
65,0.0,0.13000303523355647,0.9534,0.9497,0.958,0.9538,0.9534,0.3332673384408866,0.8627,0.8662,0.8147,0.8396,0.8576
66,0.0,0.12958093204453022,0.9482,0.9441,0.9503,0.9472,0.9483,0.3239860457944728,0.8688,0.8655,0.8322,0.8485,0.865
67,0.0,0.13774908291576785,0.9435,0.9453,0.9408,0.9431,0.9435,0.34297360346785616,0.8503,0.8649,0.7832,0.822,0.8433
68,0.0,0.13882678756608238,0.9486,0.9411,0.9582,0.9496,0.9486,0.33995402320509865,0.8488,0.8701,0.7727,0.8185,0.8408
69,0.0,0.12239021817340126,0.9594,0.9612,0.9612,0.9612,0.9593,0.3338214005121872,0.8611,0.8657,0.8112,0.8375,0.8559
70,0.0,0.14934435826313647,0.9423,0.9359,0.9513,0.9436,0.9421,0.332395435488295,0.8611,0.8657,0.8112,0.8375,0.8559
71,0.0,0.14317451129797137,0.9443,0.946,0.946,0.946,0.9442,0.33547507379470126,0.8534,0.8659,0.7902,0.8263,0.8468
72,0.0,0.12624276740641532,0.9538,0.9521,0.9537,0.9529,0.9538,0.3257678764473115,0.8719,0.8664,0.8392,0.8526,0.8685
73,0.0,0.12281578067171423,0.953,0.9457,0.9595,0.9525,0.9531,0.34643752429456937,0.8519,0.8682,0.7832,0.8235,0.8446
74,0.0,0.13007624602959125,0.9459,0.9507,0.9449,0.9478,0.9459,0.3244839323063691,0.8627,0.8689,0.8112,0.8391,0.8573
75,0.0,0.13826398098770576,0.9455,0.9341,0.9561,0.945,0.9457,0.34036324654395383,0.8519,0.8682,0.7832,0.8235,0.8446
76,0.0,0.12872520037278345,0.9498,0.9508,0.9492,0.95,0.9498,0.32856537778640077,0.8627,0.8608,0.8217,0.8408,0.8584
