Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.6868561223933571,0.5909,0.5689,0.7747,0.6561,0.5895,0.6810069576553677,0.6951,0.6159,0.6576,0.6361,0.6891
2,0.0001,0.6753557857714201,0.683,0.7093,0.6085,0.655,0.6822,0.6681898132614468,0.7294,0.7475,0.5017,0.6004,0.6931
3,0.0001,0.6604781935089513,0.6941,0.791,0.515,0.6239,0.6915,0.6544723951298258,0.7376,0.7826,0.4881,0.6013,0.6979
4,0.0001,0.644759180514436,0.7113,0.7303,0.6572,0.6918,0.7106,0.6370813820673071,0.7431,0.7872,0.5017,0.6128,0.7047
5,0.0001,0.6245805040786141,0.7163,0.791,0.5828,0.6711,0.7154,0.6191666929618173,0.7802,0.7733,0.6475,0.7048,0.7591
6,0.0001,0.6055657283255929,0.7294,0.768,0.6755,0.7188,0.7308,0.5990407894486967,0.8063,0.7516,0.7797,0.7654,0.8021
7,0.0001,0.5830205902457237,0.7229,0.742,0.6861,0.7129,0.723,0.5629368735396344,0.8283,0.8125,0.7492,0.7795,0.8157
8,0.0001,0.5457590947809973,0.7471,0.7814,0.6856,0.7304,0.7471,0.5212262881838757,0.8599,0.8249,0.8305,0.8277,0.8552
9,0.0001,0.5181246278317351,0.7644,0.7851,0.7248,0.7538,0.7642,0.4808141874230426,0.8846,0.8505,0.8678,0.8591,0.8819
10,0.0001,0.5000952980236003,0.7689,0.7838,0.7342,0.7582,0.7685,0.4380117240159408,0.8984,0.8576,0.8983,0.8775,0.8983
11,0.0001,0.4670474729255626,0.7812,0.7894,0.774,0.7816,0.7813,0.39413183538810065,0.9148,0.9031,0.8847,0.8938,0.91
12,0.0001,0.4612902438170032,0.7812,0.7903,0.7656,0.7778,0.7812,0.36832968307578046,0.9231,0.9051,0.9051,0.9051,0.9202
13,0.0001,0.4303272401815967,0.7985,0.7979,0.8044,0.8011,0.7985,0.3442971777656804,0.9341,0.9076,0.9322,0.9197,0.9338
14,0.0001,0.4115914918090168,0.8067,0.7992,0.8164,0.8077,0.8068,0.33483193814754486,0.9382,0.9032,0.9492,0.9256,0.9399
15,0.0001,0.3968709950384341,0.808,0.8026,0.795,0.7988,0.8075,0.3021875730027323,0.9505,0.9191,0.9627,0.9404,0.9525
16,0.0001,0.3818985047309022,0.8211,0.8162,0.8263,0.8212,0.8212,0.3012024216029955,0.9547,0.9119,0.9831,0.9462,0.9592
17,0.0001,0.3819357576338868,0.8273,0.81,0.8492,0.8291,0.8276,0.27691462474024814,0.9519,0.9221,0.9627,0.942,0.9536
18,0.0001,0.3752591566819894,0.8199,0.8126,0.83,0.8212,0.8199,0.27271054620328156,0.9505,0.9085,0.9763,0.9412,0.9546
19,0.0001,0.35450977243875204,0.8351,0.8262,0.8549,0.8403,0.8348,0.28588492650052777,0.9354,0.8735,0.9831,0.925,0.943
20,0.0001,0.34815217123219844,0.8446,0.8291,0.8648,0.8466,0.8447,0.29905508588189667,0.9245,0.8529,0.9831,0.9134,0.9338
21,0.0001,0.32972173059457227,0.8512,0.8434,0.8575,0.8504,0.8512,0.26747315830510593,0.9354,0.8713,0.9864,0.9253,0.9436
22,0.0001,0.32759524960266917,0.8532,0.8356,0.8702,0.8525,0.8536,0.26468661913405295,0.9341,0.8643,0.9932,0.9243,0.9435
23,0.0001,0.3235142756449549,0.8565,0.8479,0.8708,0.8592,0.8564,0.1885468143483867,0.967,0.9385,0.9831,0.9603,0.9696
24,0.0001,0.3125276945923504,0.8594,0.8458,0.8792,0.8622,0.8594,0.21468745706521947,0.9478,0.8978,0.9831,0.9385,0.9534
25,0.0001,0.3040738672410187,0.8655,0.8481,0.8882,0.8677,0.8657,0.2562647630339083,0.9258,0.8513,0.9898,0.9154,0.936
26,0.0001,0.2865765010447879,0.8746,0.8677,0.88,0.8738,0.8747,0.24926381331423056,0.9231,0.8444,0.9932,0.9128,0.9343
27,0.0001,0.2960227231838201,0.8738,0.8573,0.8974,0.8769,0.8737,0.20113519255233847,0.9451,0.8923,0.9831,0.9355,0.9511
28,0.0001,0.2899374310907565,0.8779,0.8644,0.8964,0.8801,0.8779,0.25718326218750165,0.8984,0.8027,0.9932,0.8879,0.9135
29,0.0001,0.25212099520783676,0.8919,0.8781,0.9092,0.8934,0.8919,0.19880762518100117,0.9409,0.8841,0.9831,0.931,0.9476
30,0.0001,0.26714251621773366,0.8828,0.8756,0.8962,0.8858,0.8826,0.2532774031810138,0.9107,0.823,0.9932,0.9002,0.9239
31,0.0001,0.25602749127306434,0.8914,0.8733,0.9199,0.896,0.891,0.20341944451565327,0.9368,0.8831,0.9729,0.9258,0.9426
32,0.0001,0.26389280677233873,0.8824,0.8623,0.9068,0.884,0.8827,0.22626543368982233,0.919,0.8391,0.9898,0.9082,0.9303
33,0.0001,0.2605403114698435,0.8882,0.8729,0.9036,0.888,0.8884,0.18906583531719187,0.9464,0.9051,0.9695,0.9362,0.9501
