Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0,0.6861609497786442,0.5743,0.5691,0.6118,0.5897,0.5743,0.6467053630909363,0.8807,0.122,0.0305,0.0488,0.503
2,0.0,0.6643831299774813,0.7062,0.7106,0.6972,0.7038,0.7062,0.6494383049475683,0.8379,0.2462,0.2988,0.27,0.5984
3,0.0,0.6306001582206824,0.758,0.788,0.7045,0.7439,0.7579,0.6474406336035047,0.7599,0.2218,0.5549,0.3169,0.6688
4,0.0,0.5644652274174567,0.8071,0.8328,0.7712,0.8009,0.8073,0.5892475700223601,0.8022,0.2819,0.628,0.3892,0.7248
5,0.0,0.4543498011626603,0.8501,0.866,0.8292,0.8472,0.8502,0.5023699189935412,0.8177,0.3173,0.7093,0.4384,0.7695
6,0.0,0.34335175945317786,0.8841,0.8959,0.87,0.8828,0.8841,0.4831240198441914,0.7856,0.2913,0.7927,0.426,0.7888
7,0.0,0.2738851163358915,0.9027,0.9059,0.8994,0.9027,0.9028,0.41619220695325304,0.8158,0.326,0.7825,0.4603,0.801
8,0.0,0.2293180627646027,0.9172,0.9189,0.915,0.9169,0.9172,0.3816019969133588,0.8381,0.3567,0.7642,0.4864,0.8053
9,0.0,0.2017454887593622,0.9261,0.9275,0.9234,0.9254,0.9261,0.35182830705851703,0.8523,0.3809,0.7541,0.5061,0.8087
10,0.0,0.1875042966584037,0.9327,0.9312,0.9314,0.9313,0.9327,0.3227510265522189,0.8672,0.4081,0.7175,0.5203,0.8007
11,0.0,0.16879022004075975,0.9375,0.9363,0.9393,0.9378,0.9375,0.37077113937634926,0.8401,0.3602,0.7642,0.4896,0.8064
12,0.0,0.1621381810528564,0.9386,0.9372,0.9412,0.9392,0.9386,0.34838127891545173,0.8517,0.3792,0.75,0.5038,0.8065
13,0.0,0.1460101218559803,0.9472,0.9472,0.9489,0.948,0.9472,0.38018488893648245,0.8364,0.3538,0.7622,0.4832,0.8035
14,0.0,0.14141886790825442,0.9486,0.944,0.9523,0.9481,0.9486,0.32090129592008404,0.8613,0.3958,0.7256,0.5122,0.801
15,0.0,0.1309759985560026,0.9519,0.9492,0.9558,0.9525,0.9518,0.31695228815078735,0.8648,0.4009,0.7033,0.5107,0.793
16,0.0,0.12750397981298003,0.9522,0.9486,0.9545,0.9516,0.9522,0.3250934557094202,0.8642,0.3993,0.7012,0.5088,0.7918
17,0.0,0.11758702736852807,0.9568,0.9562,0.9582,0.9572,0.9568,0.30930799865103387,0.874,0.4211,0.6829,0.5209,0.7891
18,0.0,0.11731221172753926,0.9558,0.9527,0.9594,0.956,0.9558,0.32154293092233793,0.8648,0.3998,0.6931,0.5071,0.7885
19,0.0,0.11197672013684616,0.9595,0.9578,0.9622,0.96,0.9595,0.31088856162575934,0.8733,0.4187,0.6748,0.5167,0.7851
20,0.0,0.10814983517293146,0.9607,0.9592,0.9632,0.9612,0.9606,0.30716446342019293,0.8738,0.4197,0.6748,0.5175,0.7854
21,0.0,0.102590514894493,0.9629,0.9592,0.9669,0.963,0.9629,0.304510057383737,0.877,0.4295,0.687,0.5285,0.7926
22,0.0,0.10258314052542106,0.961,0.9596,0.9626,0.9611,0.961,0.29865777690882805,0.8831,0.4447,0.6626,0.5322,0.7852
