Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.6968464710210499,0.4786,0.4798,0.5383,0.5074,0.4788,0.6928458913512852,0.5302,0.236,0.0712,0.1094,0.4571
2,0.0001,0.6870019702534926,0.5699,0.5676,0.6131,0.5895,0.5696,0.6931398355442545,0.522,0.3641,0.2407,0.2898,0.4772
3,0.0001,0.6772987795503516,0.6365,0.7031,0.4231,0.5283,0.6287,0.6834805374560149,0.5852,0.2941,0.0169,0.0321,0.4946
4,0.0001,0.6692700684070587,0.6694,0.8227,0.4263,0.5616,0.6678,0.6871837092482526,0.5742,0.4627,0.3153,0.375,0.5329
5,0.0001,0.6581083685159683,0.6698,0.6689,0.6683,0.6686,0.6698,0.6820859209350918,0.5934,0.4975,0.3322,0.3984,0.5518
6,0.0001,0.645927441747565,0.6998,0.7667,0.5752,0.6573,0.6999,0.683520988277767,0.5701,0.4724,0.522,0.496,0.5624
7,0.0001,0.636607333233482,0.6904,0.7467,0.5661,0.644,0.6891,0.6790376538815706,0.5948,0.5,0.5627,0.5295,0.5897
8,0.0001,0.6221204917681845,0.6965,0.7661,0.5608,0.6476,0.6958,0.677001222320225,0.6071,0.5116,0.6712,0.5806,0.6173
9,0.0001,0.6088875900757941,0.7015,0.7581,0.5924,0.6651,0.7016,0.6688617027324179,0.6387,0.544,0.6712,0.6009,0.6439
10,0.0001,0.5899848992887297,0.7146,0.7747,0.61,0.6825,0.7152,0.6653875268023947,0.6319,0.5335,0.7288,0.616,0.6473
11,0.0001,0.574703679273003,0.7241,0.7889,0.6083,0.6869,0.7235,0.6562391182650691,0.647,0.547,0.7492,0.6323,0.6633
12,0.0001,0.5552176342982995,0.7352,0.8009,0.6167,0.6968,0.7337,0.6304930785427922,0.6951,0.613,0.6712,0.6408,0.6913
13,0.0001,0.5420321551592726,0.7327,0.8038,0.6215,0.701,0.7337,0.6261443107024484,0.7102,0.5977,0.8712,0.709,0.7358
14,0.0001,0.5234515659118953,0.7471,0.8028,0.659,0.7238,0.7476,0.5995701188626497,0.7445,0.627,0.9119,0.7431,0.7712
15,0.0001,0.5037905856182701,0.7611,0.8013,0.7001,0.7473,0.7617,0.550486217374387,0.8269,0.7407,0.8814,0.805,0.8356
16,0.0001,0.4903213342553691,0.7693,0.8224,0.6984,0.7553,0.7708,0.5145525258520375,0.864,0.7882,0.9085,0.8441,0.8711
17,0.0001,0.46121995660819504,0.7907,0.8195,0.7398,0.7776,0.7902,0.472968120937762,0.8887,0.8242,0.922,0.8704,0.894
18,0.0001,0.458572585723902,0.7808,0.812,0.7169,0.7615,0.7794,0.43766164520512457,0.9038,0.8399,0.9424,0.8882,0.91
19,0.0001,0.4202413872668618,0.8092,0.8248,0.7825,0.8031,0.8091,0.42179107406864996,0.8997,0.8171,0.9695,0.8868,0.9108
20,0.0001,0.40333037117594167,0.8183,0.8329,0.7929,0.8124,0.8181,0.39202235833458277,0.9148,0.8377,0.9797,0.9031,0.9252
21,0.0001,0.39705127516859456,0.8314,0.8401,0.8223,0.8311,0.8315,0.3831753685422566,0.908,0.822,0.9864,0.8968,0.9205
22,0.0001,0.3850789205416253,0.8252,0.8131,0.8531,0.8326,0.8247,0.3297981762367746,0.9354,0.8851,0.9661,0.9238,0.9403
23,0.0001,0.36327514150425005,0.8446,0.8474,0.8488,0.8481,0.8445,0.324246711705042,0.9258,0.8534,0.9864,0.9151,0.9355
24,0.0001,0.35745376721024513,0.8314,0.8179,0.8414,0.8295,0.8317,0.3027102053165436,0.9382,0.8834,0.9763,0.9275,0.9443
25,0.0001,0.34944395799385874,0.8425,0.8366,0.8614,0.8488,0.842,0.31743571291799133,0.9135,0.8295,0.9898,0.9026,0.9256
26,0.0001,0.34811380642809364,0.8359,0.8315,0.835,0.8333,0.8359,0.3364494611387667,0.8887,0.7861,0.9966,0.8789,0.9059
27,0.0001,0.32995544726911347,0.8483,0.8335,0.8622,0.8476,0.8486,0.30728782292293466,0.9025,0.8077,0.9966,0.8923,0.9175
28,0.0001,0.3230870622945459,0.8614,0.869,0.857,0.863,0.8615,0.30257030803224316,0.9038,0.8116,0.9932,0.8933,0.9181
29,0.0001,0.3151195982569142,0.8627,0.8634,0.8743,0.8688,0.8622,0.28264076035955676,0.9176,0.8329,0.9966,0.9074,0.9302
30,0.0001,0.30548290986763804,0.8676,0.8536,0.8898,0.8713,0.8674,0.32643569649561593,0.8777,0.7725,0.9898,0.8678,0.8956
31,0.0001,0.29798044127069023,0.8742,0.8755,0.8755,0.8755,0.8742,0.3190106078982353,0.8791,0.7731,0.9932,0.8694,0.8973
32,0.0001,0.29442277511483744,0.8791,0.8673,0.885,0.8761,0.8793,0.26833514950197673,0.9148,0.8437,0.9695,0.9022,0.9235
33,0.0001,0.2770120603473563,0.8824,0.8809,0.8794,0.8801,0.8823,0.28887122901885404,0.9052,0.8156,0.9898,0.8943,0.9187
34,0.0001,0.2754057483061364,0.8791,0.8758,0.8858,0.8808,0.8791,0.292974334858034,0.8929,0.7989,0.9831,0.8815,0.9072
35,0.0001,0.2694587156568703,0.8857,0.8852,0.8867,0.886,0.8857,0.33220272122517874,0.8544,0.7405,0.9864,0.8459,0.8754
36,0.0001,0.24654190722656877,0.9009,0.895,0.9157,0.9052,0.9004,0.299629225841035,0.8805,0.7751,0.9932,0.8707,0.8985
37,0.0001,0.2595482835252034,0.8849,0.8717,0.9057,0.8884,0.8846,0.2959060599298581,0.886,0.7834,0.9932,0.8759,0.9031
38,0.0001,0.2501258183466761,0.8886,0.8829,0.891,0.8869,0.8886,0.2612312452300735,0.8997,0.8083,0.9864,0.8885,0.9135
39,0.0001,0.2406461851573304,0.8976,0.897,0.9035,0.9002,0.8975,0.24149493759740953,0.9121,0.8309,0.9831,0.9006,0.9234
40,0.0001,0.2487398574226781,0.8869,0.8964,0.8858,0.8911,0.887,0.2826740582999976,0.8846,0.7859,0.9831,0.8735,0.9003
41,0.0001,0.2354693418662799,0.9009,0.8991,0.9071,0.9031,0.9008,0.28378415836588194,0.8874,0.7886,0.9864,0.8765,0.9032
42,0.0001,0.23421848486912877,0.8972,0.8899,0.9046,0.8972,0.8973,0.2773144828236621,0.8915,0.7967,0.9831,0.8801,0.9061
43,0.0001,0.22941090803789466,0.9017,0.8998,0.9049,0.9023,0.9017,0.2912219223444876,0.8805,0.7811,0.9797,0.8692,0.8963
44,0.0001,0.2285805631821093,0.9025,0.9027,0.9078,0.9052,0.9024,0.3060881696317507,0.8681,0.7625,0.9797,0.8576,0.8859
45,0.0001,0.22601505231700444,0.9079,0.8987,0.9194,0.9089,0.9079,0.29389556610713835,0.8777,0.7799,0.9729,0.8658,0.8929
46,0.0001,0.22369749569579175,0.9075,0.8997,0.914,0.9068,0.9076,0.302226965032194,0.8709,0.7652,0.9831,0.8605,0.8888
47,0.0001,0.20797202951813998,0.9165,0.9084,0.9243,0.9163,0.9166,0.2755853095618279,0.886,0.7865,0.9864,0.8752,0.902
48,0.0001,0.2138049849554112,0.9128,0.9213,0.9015,0.9113,0.9128,0.2714101460802814,0.886,0.7896,0.9797,0.8744,0.9009
49,0.0001,0.21910983843630866,0.9091,0.9015,0.9115,0.9065,0.9092,0.2787464435171822,0.8791,0.7836,0.9695,0.8667,0.8935
