Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.6944719396139446,0.5019,0.5019,0.5428,0.5216,0.5019,0.6833746011058489,0.6172,0.3585,0.0693,0.1162,0.4993
2,0.0001,0.6895978756641087,0.5459,0.5451,0.5803,0.5621,0.5458,0.6803540463248888,0.6291,0.4605,0.1277,0.2,0.5212
3,0.0001,0.6842052175810462,0.5879,0.6309,0.3546,0.454,0.5803,0.6650087932745615,0.6344,0.0,0.0,0.0,0.4979
4,0.0001,0.679616812028383,0.6437,0.6629,0.5817,0.6196,0.6435,0.664562943081061,0.6424,0.6111,0.0401,0.0753,0.5128
5,0.0001,0.6740395920841318,0.6432,0.6127,0.802,0.6947,0.6413,0.6569708287715912,0.6437,0.7778,0.0255,0.0495,0.5107
6,0.0001,0.6680440714484767,0.6877,0.7223,0.618,0.6661,0.6883,0.6624895706772804,0.7298,0.7397,0.3942,0.5143,0.6576
7,0.0001,0.6600283172569776,0.7027,0.6718,0.793,0.7274,0.7027,0.6439429695407549,0.6887,0.8824,0.1642,0.2769,0.5759
8,0.0001,0.6535499378254539,0.721,0.7594,0.6433,0.6965,0.7206,0.6374256884058317,0.7272,0.8953,0.281,0.4278,0.6312
9,0.0001,0.6448001226312235,0.7351,0.7332,0.7423,0.7378,0.7351,0.6253435810407003,0.743,0.9082,0.3248,0.4785,0.6531
10,0.0001,0.6350307762622833,0.7285,0.7191,0.7599,0.7389,0.7281,0.6091764618953069,0.7311,0.9733,0.2664,0.4183,0.6311
11,0.0001,0.6182184054663307,0.7538,0.7619,0.7364,0.7489,0.7538,0.5950469026962916,0.7788,0.935,0.4197,0.5793,0.7015
12,0.0001,0.597271768670333,0.773,0.781,0.7395,0.7597,0.772,0.565850991755724,0.7775,0.9569,0.4051,0.5692,0.6974
13,0.0001,0.5792787247582486,0.7821,0.7957,0.7628,0.7789,0.7822,0.5446532232065996,0.8358,0.9464,0.5803,0.7195,0.7808
14,0.0001,0.5523750676136268,0.7979,0.8032,0.7939,0.7985,0.798,0.5188316156466802,0.8689,0.907,0.7117,0.7975,0.835
15,0.0001,0.5204714442554274,0.8179,0.8197,0.821,0.8203,0.8178,0.48165639365712803,0.8702,0.9356,0.6898,0.7941,0.8314
16,0.0001,0.49567844718694687,0.8125,0.811,0.8223,0.8166,0.8123,0.436709759136041,0.8821,0.9302,0.7299,0.818,0.8494
17,0.0001,0.4647871142155246,0.8233,0.8352,0.8053,0.82,0.8233,0.402538135026892,0.8967,0.9083,0.7956,0.8482,0.8749
18,0.0001,0.4424583370748319,0.8245,0.8409,0.7941,0.8168,0.8241,0.37728405743837357,0.8993,0.875,0.8431,0.8587,0.8872
19,0.0001,0.41010898645771177,0.8387,0.8504,0.8175,0.8336,0.8384,0.35042341736455757,0.9046,0.904,0.8248,0.8626,0.8875
20,0.0001,0.3953144636593367,0.8416,0.842,0.8253,0.8336,0.841,0.32073859001199406,0.9099,0.9256,0.8175,0.8682,0.89
21,0.0001,0.4073583001368924,0.8237,0.8377,0.8089,0.823,0.8239,0.31342944720139104,0.9073,0.8953,0.8431,0.8684,0.8935
22,0.0001,0.3711764163484699,0.8449,0.8341,0.8713,0.8523,0.8442,0.3059715336809556,0.906,0.8638,0.8796,0.8716,0.9003
23,0.0001,0.3730984538009292,0.8387,0.8513,0.8247,0.8378,0.8388,0.29460538054505986,0.9086,0.8839,0.8613,0.8725,0.8984
24,0.0001,0.3368222433093347,0.8636,0.8542,0.8795,0.8667,0.8635,0.2741560734187563,0.9179,0.9173,0.8504,0.8826,0.9034
25,0.0001,0.3375234974450187,0.8607,0.8584,0.869,0.8637,0.8606,0.2654340771647791,0.9139,0.8856,0.8759,0.8807,0.9057
26,0.0001,0.3264724390679284,0.8636,0.8483,0.8759,0.8618,0.864,0.25318771771465737,0.9205,0.9246,0.8504,0.8859,0.9054
27,0.0001,0.3208062405648984,0.8611,0.856,0.8688,0.8623,0.8611,0.2480658646672964,0.9166,0.9011,0.865,0.8827,0.9055
28,0.0001,0.32520750537514687,0.8603,0.8605,0.8547,0.8576,0.8602,0.2615620697227617,0.8967,0.8525,0.865,0.8587,0.8899
29,0.0001,0.32345402828956904,0.8611,0.8579,0.8719,0.8649,0.8609,0.26775759225711226,0.8993,0.8486,0.8796,0.8638,0.8951
30,0.0001,0.3112974794287431,0.874,0.8754,0.8831,0.8792,0.8736,0.2584277638234198,0.906,0.8488,0.9015,0.8743,0.905
