Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.696143800892481,0.4885,0.4925,0.6476,0.5595,0.4881,0.6855496273321264,0.587,0.3377,0.1313,0.1891,0.4911
2,0.0001,0.684837528845159,0.5931,0.5749,0.7477,0.65,0.5915,0.6818148914505454,0.6241,0.4691,0.1919,0.2724,0.5331
3,0.0001,0.6724456366969318,0.6649,0.7932,0.419,0.5484,0.658,0.6751372708993799,0.6463,0.5556,0.1768,0.2682,0.5474
4,0.0001,0.6664209874664865,0.6989,0.7426,0.6108,0.6703,0.6991,0.6821705804151648,0.6037,0.4588,0.4495,0.4541,0.5712
5,0.0001,0.6527426787992803,0.7393,0.7353,0.7359,0.7356,0.7393,0.6683305361691643,0.6481,0.5377,0.2879,0.375,0.5723
6,0.0001,0.6429859087234591,0.7366,0.7561,0.6896,0.7213,0.7361,0.6643024507690879,0.6519,0.541,0.3333,0.4125,0.5848
7,0.0001,0.622492278494486,0.7573,0.7683,0.7378,0.7527,0.7573,0.6611491091111127,0.6333,0.5,0.3535,0.4142,0.5744
8,0.0001,0.5973644445582134,0.7859,0.8195,0.7264,0.7702,0.7852,0.6558074810925651,0.6241,0.4839,0.3788,0.4249,0.5724
9,0.0001,0.5740966557002649,0.7832,0.8018,0.7448,0.7723,0.7827,0.6492361198453342,0.6204,0.4793,0.4091,0.4414,0.5759
10,0.0001,0.5351083536700505,0.8061,0.8088,0.8075,0.8082,0.8061,0.6396194486057057,0.6296,0.494,0.4192,0.4536,0.5853
11,0.0001,0.4914620147972572,0.8336,0.8343,0.8239,0.829,0.8334,0.6363205979852116,0.6333,0.5,0.4798,0.4897,0.601
12,0.0001,0.4447201196013427,0.8573,0.8666,0.8427,0.8545,0.8572,0.6492405235767365,0.637,0.5046,0.5505,0.5266,0.6188
13,0.0001,0.38831707217344424,0.871,0.8743,0.8663,0.8703,0.871,0.6499935406095841,0.6463,0.5166,0.5505,0.533,0.6261
14,0.0001,0.36179665421567314,0.8725,0.8762,0.8762,0.8762,0.8724,0.6664489069405723,0.6481,0.5182,0.5758,0.5455,0.6329
15,0.0001,0.33140325618953237,0.8805,0.8786,0.8846,0.8816,0.8805,0.7001215973321129,0.6352,0.5021,0.6061,0.5492,0.6291
16,0.0001,0.3049463093644235,0.8878,0.8811,0.8946,0.8878,0.8878,0.7150323807316668,0.6444,0.5126,0.6162,0.5596,0.6385
17,0.0001,0.27344950542944235,0.9023,0.8975,0.9045,0.901,0.9023,0.7442700266838074,0.6222,0.4883,0.6313,0.5507,0.6241
18,0.0001,0.2823478322385288,0.8962,0.8868,0.9047,0.8956,0.8963,0.7233602014534614,0.65,0.5193,0.6111,0.5615,0.6418
19,0.0001,0.26687656833631235,0.8992,0.8957,0.9025,0.8991,0.8993,0.7168830102857422,0.6574,0.5284,0.6111,0.5667,0.6477
20,0.0001,0.26560063351218294,0.9008,0.8971,0.9104,0.9037,0.9005,0.7414314225316048,0.6185,0.4847,0.6414,0.5522,0.6233
21,0.0001,0.24552709681958687,0.908,0.9087,0.9067,0.9077,0.908,0.7602061592042446,0.6222,0.4885,0.6414,0.5546,0.6263
