Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.6962862799439249,0.4642,0.4694,0.5426,0.5033,0.4641,0.6881458305177235,0.5494,0.4464,0.0874,0.1462,0.5009
2,0.0001,0.6866455432734911,0.5888,0.5908,0.5714,0.5809,0.5887,0.684683947336106,0.5725,0.5616,0.1434,0.2284,0.5275
3,0.0001,0.6776940558530107,0.6513,0.7299,0.4632,0.5668,0.6485,0.6808496940703619,0.6049,0.6744,0.2028,0.3118,0.5627
4,0.0001,0.66585903907124,0.6863,0.7758,0.5149,0.619,0.6845,0.6792209148406982,0.5972,0.5641,0.3846,0.4574,0.5749
5,0.0001,0.6551238819013668,0.7174,0.7147,0.7204,0.7176,0.7174,0.6714515345437186,0.6111,0.6012,0.3531,0.4449,0.584
6,0.0001,0.6443972904470903,0.7237,0.7405,0.6936,0.7163,0.7239,0.6671958026431856,0.6111,0.5766,0.4476,0.5039,0.5939
7,0.0001,0.6276029318193846,0.7619,0.8074,0.6748,0.7352,0.7602,0.659153319540478,0.6188,0.5823,0.4825,0.5277,0.6045
8,0.0001,0.6106001063238217,0.7604,0.7944,0.699,0.7436,0.76,0.6497820771875835,0.6373,0.6085,0.5,0.5489,0.6229
9,0.0001,0.5904711658441568,0.7691,0.8038,0.7249,0.7623,0.7701,0.6405598038718814,0.6497,0.6122,0.5629,0.5865,0.6406
10,0.0001,0.5543188433858413,0.7994,0.8024,0.7947,0.7986,0.7994,0.6188814824535733,0.6713,0.6527,0.5455,0.5943,0.6581
11,0.0001,0.5317958631092989,0.7954,0.8137,0.7628,0.7874,0.7952,0.5936761555217561,0.6898,0.7157,0.493,0.5839,0.6692
12,0.0001,0.48594005349316177,0.826,0.8523,0.776,0.8124,0.8246,0.5691485149519784,0.6975,0.7368,0.4895,0.5882,0.6757
13,0.0001,0.45382367319698574,0.8404,0.8574,0.8217,0.8391,0.8406,0.5468617308707464,0.7083,0.7366,0.528,0.6151,0.6894
14,0.0001,0.4014724296859548,0.8623,0.8816,0.8446,0.8627,0.8627,0.5216464570590428,0.7238,0.7465,0.5664,0.6441,0.7072
15,0.0001,0.3967691165736959,0.8535,0.857,0.8543,0.8557,0.8535,0.506388056136313,0.7346,0.7615,0.5804,0.6587,0.7184
16,0.0001,0.36293444075161896,0.8662,0.8813,0.8462,0.8634,0.8662,0.4812592530534381,0.7747,0.7713,0.6958,0.7316,0.7664
17,0.0001,0.34419817373722417,0.8758,0.8847,0.8541,0.8691,0.8751,0.48849324349846157,0.7423,0.7874,0.5699,0.6613,0.7242
18,0.0001,0.3348051017221016,0.867,0.8739,0.8571,0.8654,0.867,0.4528129682654426,0.7948,0.7762,0.7517,0.7638,0.7902
19,0.0001,0.31631473404697225,0.8758,0.8851,0.8593,0.872,0.8756,0.44843088729040964,0.7855,0.7928,0.6958,0.7412,0.7761
20,0.0001,0.32005867211124567,0.873,0.8792,0.8644,0.8717,0.873,0.4660803899168968,0.7531,0.8058,0.5804,0.6748,0.735
21,0.0001,0.3043345427965816,0.8778,0.8962,0.8653,0.8805,0.8783,0.44132203821625027,0.804,0.8093,0.7273,0.7661,0.796
22,0.0001,0.2921577848588364,0.8873,0.8934,0.8799,0.8866,0.8873,0.4239227608555839,0.8179,0.8111,0.7657,0.7878,0.8124
23,0.0001,0.27654531862162335,0.8953,0.9031,0.8867,0.8948,0.8953,0.4244056631411825,0.8056,0.8252,0.7098,0.7632,0.7955
24,0.0001,0.2765540602275088,0.8889,0.914,0.8668,0.8898,0.8897,0.4221048280596733,0.8009,0.8312,0.6888,0.7533,0.7892
25,0.0001,0.2680328610011294,0.8957,0.8931,0.8974,0.8953,0.8957,0.41565928679137004,0.804,0.8412,0.6853,0.7553,0.7916
26,0.0001,0.26722244578826276,0.8897,0.9027,0.8764,0.8893,0.8899,0.4019181432113761,0.8225,0.8301,0.7517,0.789,0.8151
27,0.0001,0.26958527208506305,0.8945,0.9148,0.8757,0.8948,0.895,0.3974566849924269,0.8194,0.8288,0.7448,0.7845,0.8116
