Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.6964277341252282,0.474,0.4831,0.6372,0.5495,0.4728,0.6753726713359356,0.7219,0.4262,0.2047,0.2766,0.554
2,0.0001,0.6862512159915197,0.5788,0.5702,0.6026,0.5859,0.5791,0.6735014021396637,0.7382,0.4941,0.3307,0.3962,0.606
3,0.0001,0.676348266857011,0.6151,0.7762,0.2872,0.4192,0.6048,0.6707442738115788,0.7505,0.5258,0.4016,0.4554,0.6373
4,0.0001,0.6671524587131682,0.6881,0.7456,0.5749,0.6493,0.6886,0.6913529001176357,0.5276,0.3344,0.8268,0.4762,0.6247
5,0.0001,0.6562642816986356,0.7035,0.7174,0.6712,0.6935,0.7035,0.6803930252790451,0.5992,0.3647,0.7323,0.4869,0.6424
6,0.0001,0.6444440909794399,0.7173,0.7204,0.7101,0.7152,0.7173,0.6625853404402733,0.6687,0.4093,0.622,0.4938,0.6536
7,0.0001,0.6321604450543722,0.7083,0.7404,0.6373,0.685,0.708,0.6571055725216866,0.6626,0.4078,0.6614,0.5045,0.6622
8,0.0001,0.615534531218665,0.7274,0.7435,0.6873,0.7143,0.7271,0.6525316014885902,0.6524,0.4036,0.7087,0.5143,0.6706
9,0.0001,0.5965188897791363,0.7379,0.7678,0.693,0.7285,0.7386,0.6388620734214783,0.6687,0.4242,0.7717,0.5475,0.7021
10,0.0001,0.5692445252622876,0.7641,0.7924,0.7151,0.7518,0.7641,0.6003443729132414,0.7669,0.5359,0.7638,0.6299,0.7659
11,0.0001,0.535546192810649,0.7855,0.7952,0.7449,0.7692,0.7839,0.550334457308054,0.8262,0.64,0.7559,0.6931,0.8034
12,0.0001,0.5172324595706803,0.7851,0.8119,0.7468,0.778,0.7854,0.5207461416721344,0.8466,0.6806,0.7717,0.7232,0.8223
13,0.0001,0.47492946187655133,0.8132,0.8323,0.7884,0.8098,0.8134,0.4965728111565113,0.8303,0.631,0.8346,0.7186,0.8317
14,0.0001,0.42881201917216893,0.836,0.8378,0.839,0.8384,0.836,0.44080288521945477,0.8589,0.6908,0.8268,0.7527,0.8485
15,0.0001,0.41193843349104836,0.8308,0.8408,0.8221,0.8313,0.8309,0.40148414112627506,0.865,0.7103,0.811,0.7574,0.8475
16,0.0001,0.3934001354944138,0.8341,0.822,0.8367,0.8293,0.8342,0.3817805675789714,0.865,0.7103,0.811,0.7574,0.8475
17,0.0001,0.37736983881110236,0.8368,0.8348,0.8361,0.8355,0.8368,0.36466281209141016,0.8712,0.7254,0.811,0.7658,0.8516
18,0.0001,0.3688481767617521,0.8345,0.8213,0.8416,0.8313,0.8347,0.3683024812489748,0.8609,0.6903,0.8425,0.7589,0.855
19,0.0001,0.33456883100526674,0.8645,0.871,0.8581,0.8645,0.8645,0.385268647223711,0.8364,0.6358,0.8661,0.7333,0.8461
20,0.0001,0.3280083340193544,0.86,0.8469,0.8832,0.8647,0.8597,0.3449908518232405,0.8732,0.7273,0.8189,0.7704,0.8556
21,0.0001,0.32560875320008825,0.8592,0.8687,0.8561,0.8624,0.8593,0.3652995661832392,0.8487,0.6587,0.8661,0.7483,0.8543
22,0.0001,0.3059427399365675,0.8686,0.8608,0.8745,0.8676,0.8687,0.3367006266489625,0.8732,0.7211,0.8346,0.7737,0.8607
23,0.0001,0.30642362417919294,0.8667,0.8681,0.8707,0.8694,0.8666,0.3332926402799785,0.8753,0.7292,0.8268,0.7749,0.8595
24,0.0001,0.2962942204127709,0.8731,0.8691,0.8724,0.8708,0.8731,0.32929973769932985,0.8773,0.731,0.8346,0.7794,0.8635
25,0.0001,0.2841436572018124,0.8783,0.8752,0.8759,0.8755,0.8783,0.3488298989832401,0.8384,0.6395,0.8661,0.7358,0.8474
26,0.0001,0.28965004604487193,0.8731,0.869,0.8849,0.8769,0.8728,0.3385759093798697,0.8569,0.6839,0.8346,0.7518,0.8496
27,0.0001,0.271286441013217,0.8806,0.8719,0.8993,0.8854,0.8801,0.3213401394896209,0.8691,0.7203,0.811,0.763,0.8503
28,0.0001,0.26270564397176105,0.8881,0.892,0.8861,0.8891,0.8881,0.3257084167562425,0.8548,0.6944,0.7874,0.738,0.8329
29,0.0001,0.276287253059092,0.8892,0.8732,0.9016,0.8872,0.8896,0.30896208668127656,0.865,0.7194,0.7874,0.7519,0.8398
30,0.0001,0.24216676157500064,0.8985,0.8969,0.8962,0.8965,0.8985,0.3171579376794398,0.8589,0.7042,0.7874,0.7435,0.8357
31,0.0001,0.22282757973741918,0.9101,0.9059,0.9154,0.9106,0.9101,0.32155161583796144,0.8528,0.6897,0.7874,0.7353,0.8315
32,0.0001,0.23106207104311102,0.9008,0.9032,0.8984,0.9008,0.9008,0.31186423543840647,0.8548,0.6867,0.811,0.7437,0.8406
33,0.0001,0.22512430200974146,0.9109,0.9065,0.9199,0.9131,0.9107,0.32483204966410995,0.8487,0.6667,0.8346,0.7413,0.8441
34,0.0001,0.2257022393778676,0.906,0.8937,0.9235,0.9084,0.9059,0.31277804682031274,0.865,0.744,0.7323,0.7381,0.8219
35,0.0001,0.22054130335648855,0.9161,0.9253,0.9075,0.9164,0.9162,0.31521218572743237,0.8528,0.6797,0.8189,0.7429,0.8418
36,0.0001,0.20907678428505147,0.9116,0.9126,0.9139,0.9132,0.9116,0.31454354943707585,0.8507,0.6824,0.7953,0.7345,0.8327
37,0.0001,0.20053787906432435,0.9173,0.914,0.9228,0.9184,0.9172,0.336886293720454,0.8282,0.6243,0.8504,0.72,0.8354
38,0.0001,0.2104485629215127,0.9176,0.9138,0.9258,0.9198,0.9175,0.34524792642332613,0.8303,0.6222,0.8819,0.7296,0.847
39,0.0001,0.21117049863650686,0.9124,0.9048,0.9198,0.9122,0.9125,0.32952782115899026,0.8466,0.6548,0.8661,0.7458,0.853
