Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0,0.6864452670249733,0.5727,0.5776,0.537,0.5566,0.5727,0.6651948065190882,0.7772,0.1956,0.1543,0.1725,0.5209
2,0.0,0.6621104688575923,0.7215,0.7825,0.6084,0.6845,0.7207,0.6619318269349478,0.7437,0.2941,0.5022,0.371,0.6443
3,0.0,0.6199753991791334,0.7867,0.8211,0.7333,0.7747,0.7867,0.6279420894342702,0.7816,0.3623,0.5939,0.4501,0.7044
4,0.0,0.5380696303326523,0.8301,0.8609,0.7875,0.8225,0.8301,0.5180736482143402,0.8743,0.57,0.6696,0.6158,0.79
5,0.0,0.4237806295952634,0.8581,0.8791,0.8288,0.8532,0.858,0.3784445490870442,0.903,0.6584,0.738,0.696,0.8351
6,0.0,0.3271916161694261,0.8852,0.8957,0.8715,0.8834,0.8852,0.309519311973265,0.9104,0.6675,0.8064,0.7304,0.8676
7,0.0,0.27545765777999665,0.8964,0.8996,0.8949,0.8973,0.8964,0.3169090513374422,0.8903,0.5901,0.8865,0.7086,0.8887
8,0.0,0.23461406664585083,0.9112,0.9107,0.9112,0.9109,0.9112,0.28361969415124477,0.8992,0.6164,0.8748,0.7232,0.8892
9,0.0,0.2145822654533429,0.9164,0.9159,0.9169,0.9164,0.9164,0.24777389468846622,0.9113,0.6581,0.8544,0.7435,0.8879
10,0.0,0.19156787808670175,0.9271,0.9228,0.9321,0.9274,0.9271,0.23631333502439353,0.9141,0.6701,0.8457,0.7477,0.886
11,0.0,0.17556185503381588,0.9319,0.929,0.9367,0.9328,0.9318,0.23545114482407803,0.9122,0.6632,0.8457,0.7434,0.8848
12,0.0,0.1681358878579345,0.9337,0.9306,0.937,0.9338,0.9337,0.2034551877710786,0.924,0.7191,0.8122,0.7628,0.878
13,0.0,0.15834182528929394,0.9367,0.9326,0.9427,0.9376,0.9366,0.21454072118430703,0.9185,0.6976,0.8093,0.7493,0.8736
14,0.0,0.14949076474247971,0.941,0.9339,0.9475,0.9407,0.9411,0.2209326219777544,0.9143,0.6745,0.8326,0.7453,0.8807
15,0.0,0.13554014176585089,0.9488,0.9452,0.952,0.9486,0.9488,0.18948486853729596,0.9266,0.7444,0.7802,0.7619,0.8664
16,0.0,0.13660300136134162,0.9469,0.9421,0.951,0.9466,0.947,0.19247108011447883,0.9227,0.73,0.7715,0.7502,0.8605
17,0.0,0.12582367655939858,0.9526,0.9482,0.958,0.9531,0.9526,0.20347635020742882,0.9203,0.7026,0.8151,0.7547,0.877
18,0.0,0.12822764162542682,0.9493,0.9474,0.9519,0.9496,0.9493,0.1946934039437479,0.9214,0.7253,0.7686,0.7463,0.8585
19,0.0,0.12065816629524184,0.9544,0.9499,0.9589,0.9544,0.9544,0.18557694793997945,0.9277,0.7606,0.7584,0.7595,0.858
20,0.0,0.11609530614444875,0.9559,0.9522,0.9594,0.9558,0.9559,0.17982109720734032,0.931,0.7818,0.7511,0.7661,0.857
