Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0,0.6869463455386278,0.5661,0.5644,0.6087,0.5857,0.5658,0.6707418953615522,0.7662,0.1639,0.4458,0.2397,0.6204
2,0.0,0.6665186264166018,0.699,0.685,0.7428,0.7127,0.6988,0.617464682412526,0.9278,0.5991,0.3825,0.4669,0.6797
3,0.0,0.6316688581003129,0.7811,0.7941,0.7611,0.7772,0.7812,0.5851066495691027,0.9064,0.4498,0.5934,0.5117,0.764
4,0.0,0.5534388502404249,0.8347,0.8406,0.8278,0.8341,0.8347,0.4407825850778156,0.9335,0.5937,0.6205,0.6068,0.7911
5,0.0,0.42844825053671926,0.8682,0.8739,0.8574,0.8656,0.8681,0.2963742081608091,0.9353,0.6011,0.6446,0.6221,0.803
6,0.0,0.3243672880976873,0.8895,0.8943,0.8833,0.8888,0.8895,0.22868940370186927,0.935,0.5947,0.6717,0.6308,0.8152
7,0.0,0.2634679034923427,0.9038,0.9047,0.9039,0.9043,0.9038,0.22823191073442262,0.9188,0.5066,0.6988,0.5873,0.8187
8,0.0,0.22924155557612508,0.9133,0.9111,0.9144,0.9127,0.9133,0.1973539058059927,0.9283,0.5534,0.6867,0.6129,0.8184
9,0.0,0.20662926308784751,0.9216,0.9198,0.9239,0.9218,0.9216,0.22054645883303786,0.9116,0.4772,0.7259,0.5759,0.8271
10,0.0,0.1896008067676726,0.9273,0.9263,0.929,0.9276,0.9273,0.19212032878209676,0.926,0.5414,0.6898,0.6066,0.8185
11,0.0,0.18003120150040666,0.931,0.9322,0.9303,0.9313,0.931,0.18599424332321163,0.926,0.5414,0.6898,0.6066,0.8185
12,0.0,0.16333339826077325,0.9367,0.9342,0.9407,0.9375,0.9367,0.1847546104829581,0.926,0.5408,0.6988,0.6097,0.8227
13,0.0,0.15493718382840788,0.9406,0.9354,0.9463,0.9409,0.9406,0.18267747124154415,0.9275,0.5487,0.6958,0.6135,0.8221
14,0.0,0.14556808206690833,0.9443,0.9423,0.9471,0.9447,0.9443,0.17364551347961266,0.932,0.5747,0.6837,0.6245,0.8191
15,0.0,0.14513118271083159,0.945,0.9401,0.9499,0.945,0.9451,0.18147676600705062,0.93,0.5633,0.6837,0.6177,0.818
16,0.0,0.133744317648822,0.9474,0.9474,0.9478,0.9476,0.9474,0.1894416434113823,0.9216,0.5189,0.7018,0.5967,0.8216
17,0.0,0.13653128469226564,0.9484,0.9474,0.9518,0.9496,0.9483,0.17991266458753555,0.9305,0.5645,0.6988,0.6245,0.8251
18,0.0,0.13255468818589475,0.9498,0.9479,0.952,0.9499,0.9498,0.1697594672515397,0.938,0.6143,0.6717,0.6417,0.8168
19,0.0,0.11932955432086144,0.9556,0.9532,0.9589,0.956,0.9556,0.1781546766426237,0.9298,0.5619,0.6837,0.6168,0.8178
20,0.0,0.12392927253884929,0.9517,0.9502,0.953,0.9516,0.9517,0.17944810812967638,0.9318,0.5732,0.6837,0.6236,0.8189
21,0.0,0.11303996307067962,0.957,0.9546,0.9588,0.9567,0.957,0.1791959860073846,0.9338,0.5855,0.6807,0.6295,0.8186
22,0.0,0.11268251639456596,0.9579,0.9562,0.9601,0.9582,0.9579,0.17683651419504295,0.9333,0.5838,0.6717,0.6246,0.8143
23,0.0,0.10758732211247138,0.9589,0.9564,0.9606,0.9585,0.9589,0.17157955836534264,0.935,0.5937,0.6777,0.6329,0.818
24,0.0,0.10826131197354572,0.9585,0.9595,0.9577,0.9586,0.9585,0.17818408236203212,0.932,0.5754,0.6777,0.6224,0.8163
25,0.0,0.10398240728329751,0.9613,0.9583,0.964,0.9612,0.9613,0.1762013442089988,0.9343,0.5934,0.6506,0.6207,0.8052
26,0.0,0.09655580043513652,0.9642,0.9627,0.9661,0.9644,0.9641,0.17197750668440545,0.9387,0.6265,0.6416,0.6339,0.8035
27,0.0,0.10062622607163177,0.9603,0.9561,0.9634,0.9597,0.9603,0.17115679424670008,0.942,0.6533,0.6355,0.6443,0.8026
28,0.0,0.10063985991372827,0.9618,0.9614,0.9621,0.9618,0.9618,0.17330883797036395,0.9363,0.6061,0.6536,0.629,0.8077
