Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.694471360821473,0.5019,0.5019,0.5428,0.5216,0.5019,0.6833899865547816,0.6159,0.3519,0.0693,0.1159,0.4983
2,0.0001,0.6895923426276759,0.5459,0.5451,0.5803,0.5621,0.5458,0.6803414026896158,0.6291,0.4605,0.1277,0.2,0.5212
3,0.0001,0.6841504911058828,0.5871,0.629,0.3546,0.4535,0.5795,0.6649051606655121,0.6344,0.0,0.0,0.0,0.4979
4,0.0001,0.6795173695212916,0.6424,0.6607,0.5825,0.6191,0.6423,0.6642464101314545,0.6437,0.6316,0.0438,0.0819,0.5146
5,0.0001,0.67385191901734,0.6437,0.6134,0.8003,0.6945,0.6417,0.6565776417652766,0.6437,0.7778,0.0255,0.0495,0.5107
6,0.0001,0.667741522192955,0.6873,0.7224,0.6163,0.6652,0.6879,0.6619473869601885,0.7285,0.7347,0.3942,0.5131,0.6565
7,0.0001,0.659539407021121,0.7027,0.6723,0.7914,0.727,0.7027,0.6429889425635338,0.6887,0.8824,0.1642,0.2769,0.5759
8,0.0001,0.6528885646870262,0.7218,0.7609,0.6433,0.6971,0.7215,0.6366033827265104,0.7285,0.8876,0.2883,0.4353,0.6338
9,0.0001,0.6439654646735442,0.7376,0.7361,0.744,0.74,0.7376,0.6240648453434309,0.7444,0.9091,0.3285,0.4826,0.6549
10,0.0001,0.6339335778826162,0.7281,0.7192,0.7582,0.7382,0.7277,0.6072213314473629,0.7311,0.9733,0.2664,0.4183,0.6311
11,0.0001,0.6166472003648156,0.7547,0.7632,0.7364,0.7496,0.7546,0.5929431368907293,0.7815,0.936,0.427,0.5865,0.7052
12,0.0001,0.5952160483912418,0.7742,0.7821,0.7412,0.7611,0.7733,0.5632195758322874,0.7801,0.9576,0.4124,0.5765,0.701
13,0.0001,0.5768262747871248,0.7817,0.795,0.7628,0.7786,0.7818,0.5415548707048098,0.8397,0.9474,0.5912,0.7281,0.7863
14,0.0001,0.5494889511089576,0.7979,0.8032,0.7939,0.7985,0.798,0.5153711338837942,0.8689,0.9032,0.7153,0.7984,0.8358
15,0.0001,0.5171983469473688,0.8175,0.8195,0.8202,0.8199,0.8174,0.477668388436238,0.8689,0.931,0.6898,0.7925,0.8303
16,0.0001,0.49253198465234355,0.8104,0.8102,0.8182,0.8142,0.8103,0.43256998993456364,0.8848,0.9309,0.7372,0.8228,0.853
