Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.297757603082951,0.9107,0.8774,0.9547,0.9144,0.9108,0.11286773849428902,0.9579,0.294,0.9773,0.452,0.9674
2,0.0001,0.08817307758008965,0.9741,0.96,0.9894,0.9745,0.9741,0.08621415460065397,0.9663,0.3401,0.9545,0.5015,0.9605
3,0.0001,0.06514311262690643,0.979,0.9682,0.9906,0.9793,0.9791,0.058342476341743846,0.9754,0.4076,0.8523,0.5515,0.9149
4,0.0001,0.05225704624483894,0.9832,0.9748,0.992,0.9833,0.9833,0.05622119440456792,0.9783,0.4431,0.8636,0.5857,0.922
5,0.0001,0.04033639880525426,0.9878,0.9815,0.9942,0.9878,0.9878,0.0529425340092618,0.9805,0.4728,0.8409,0.6053,0.912
6,0.0001,0.03661147784148781,0.9887,0.9842,0.9935,0.9888,0.9887,0.04479537455801854,0.9831,0.5167,0.7898,0.6247,0.8882
7,0.0001,0.033156400490586206,0.9902,0.9858,0.9947,0.9902,0.9902,0.04615719087591823,0.9828,0.5108,0.8068,0.6256,0.8964
8,0.0001,0.027509097673285028,0.9919,0.9881,0.9958,0.9919,0.9919,0.03992627563878511,0.985,0.559,0.7273,0.6321,0.8584
9,0.0001,0.025640407925977767,0.9918,0.9884,0.9953,0.9919,0.9918,0.04057716806564493,0.9858,0.5751,0.7614,0.6553,0.8756
10,0.0001,0.023013693583982184,0.9931,0.9906,0.9956,0.9931,0.9931,0.03739397307353571,0.9864,0.602,0.6875,0.6419,0.8396
11,0.0001,0.020318355355280423,0.9943,0.9912,0.9974,0.9943,0.9943,0.03959521254178071,0.986,0.586,0.7159,0.6445,0.8534
12,0.0001,0.0177465344298177,0.9946,0.9923,0.9971,0.9947,0.9947,0.04337498122416425,0.9855,0.5678,0.7614,0.6505,0.8754
13,0.0001,0.01752510529482819,0.9948,0.9925,0.9971,0.9948,0.9948,0.0420377613739238,0.9856,0.5733,0.733,0.6434,0.8615
14,0.0001,0.01665773745771258,0.9952,0.993,0.9975,0.9953,0.9952,0.0396779507793029,0.9868,0.6286,0.625,0.6268,0.8092
15,0.0001,0.015589717669136952,0.9959,0.994,0.9979,0.9959,0.9959,0.039910533824328354,0.9868,0.6142,0.6875,0.6488,0.8398
16,0.0001,0.013937558973374472,0.9962,0.9942,0.9982,0.9962,0.9962,0.040332876162282566,0.9869,0.6264,0.6477,0.6369,0.8204
17,0.0001,0.01272277816545508,0.9963,0.9943,0.9984,0.9963,0.9963,0.042107802589705784,0.9867,0.6375,0.5795,0.6071,0.7868
18,0.0001,0.011023336646368469,0.9968,0.9952,0.9985,0.9968,0.9968,0.041575721951229085,0.9877,0.6824,0.5739,0.6235,0.7845
19,0.0001,0.010445459987289275,0.9972,0.9957,0.9987,0.9972,0.9972,0.04158044427731933,0.9873,0.6689,0.5625,0.6111,0.7787
20,0.0001,0.01066222616353045,0.997,0.9958,0.9982,0.997,0.997,0.0411321623514431,0.9874,0.6527,0.6193,0.6356,0.8067
