Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.29834799473075163,0.9103,0.8778,0.9532,0.914,0.9104,0.11691431382883198,0.9626,0.3905,0.8814,0.5413,0.9231
2,0.0001,0.08599247793145903,0.9756,0.9602,0.9924,0.976,0.9756,0.0900710594291059,0.9676,0.428,0.8696,0.5737,0.9199
3,0.0001,0.06602549488347807,0.9802,0.9691,0.9921,0.9804,0.9802,0.08108147256263945,0.9711,0.4582,0.8458,0.5944,0.9101
4,0.0001,0.055730107301150314,0.9839,0.9739,0.9944,0.9841,0.984,0.08552115829139968,0.9705,0.4528,0.8538,0.5918,0.9136
5,0.0001,0.04875638418573412,0.9864,0.9777,0.9955,0.9865,0.9864,0.07556845756491522,0.9737,0.4851,0.834,0.6134,0.9056
6,0.0001,0.04467764494211001,0.9875,0.9805,0.9947,0.9876,0.9875,0.06676506755735041,0.9777,0.5361,0.8221,0.649,0.9019
7,0.0001,0.03937720054854391,0.9894,0.9829,0.9963,0.9895,0.9894,0.06961921866690307,0.9766,0.5197,0.834,0.6404,0.9071
8,0.0001,0.03358064379478876,0.9912,0.9856,0.997,0.9913,0.9912,0.06326472984444334,0.9792,0.557,0.83,0.6667,0.9065
9,0.0001,0.0359335111333156,0.9902,0.9841,0.9965,0.9903,0.9902,0.05674408030579976,0.9815,0.5959,0.8103,0.6868,0.8981
10,0.0001,0.031002290709979976,0.9913,0.9861,0.9966,0.9913,0.9913,0.0505374990715547,0.9848,0.6667,0.7826,0.72,0.8863
11,0.0001,0.026473970102301236,0.9929,0.9887,0.9972,0.9929,0.9928,0.05127946488917197,0.984,0.6444,0.8024,0.7148,0.8955
12,0.0001,0.024195225420142075,0.9934,0.9896,0.9973,0.9935,0.9935,0.056323267532178894,0.9834,0.63,0.8142,0.7103,0.901
13,0.0001,0.02230936751764938,0.9941,0.9904,0.9978,0.9941,0.9941,0.056438662249992305,0.9826,0.6116,0.834,0.7057,0.9102
14,0.0001,0.024421658889624307,0.9938,0.9897,0.998,0.9938,0.9937,0.044687785062386264,0.9867,0.7148,0.7826,0.7472,0.8873
15,0.0001,0.021161950485380884,0.9946,0.991,0.9984,0.9947,0.9946,0.04470776048571756,0.9867,0.7117,0.7905,0.7491,0.8911
16,0.0001,0.018740435027250365,0.9947,0.992,0.9976,0.9947,0.9947,0.045444644362716766,0.9869,0.7336,0.751,0.7422,0.872
17,0.0001,0.020323732106080985,0.9947,0.9918,0.9977,0.9947,0.9946,0.043546778879159996,0.9874,0.7218,0.8103,0.7635,0.9011
18,0.0001,0.019709919248716137,0.9948,0.9916,0.998,0.9948,0.9948,0.04825592405622741,0.9863,0.6949,0.8103,0.7482,0.9006
19,0.0001,0.018906883916667196,0.9947,0.9914,0.9981,0.9948,0.9948,0.03917004636255957,0.9887,0.7546,0.8142,0.7833,0.9037
20,0.0001,0.018312504331289402,0.9949,0.9919,0.9978,0.9949,0.9949,0.044808167384869,0.9862,0.6781,0.8577,0.7574,0.9236
21,0.0001,0.015539790430398876,0.9957,0.9929,0.9986,0.9957,0.9957,0.04442340203044392,0.9885,0.7509,0.8103,0.7795,0.9017
22,0.0001,0.01408446866516719,0.9964,0.9942,0.9987,0.9964,0.9964,0.04756026866387667,0.9866,0.7107,0.7866,0.7467,0.8892
